Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
친절,3,0,0,0,0,0,-1,kindness
검은색,3,0,0,0,0,0,-1,Black color
호탕한,3,0,0,0,0,0,-1,cavalier
자유롭고 개방적,3,0,0,0,0,0,-1,free and open
흉기,0,0,0,1,2,0,3.666666667,weapon
러시아인,3,0,0,0,0,0,-1,Russian
낙타를 타고 여행,3,0,0,0,0,0,-1,travel by camel
독립을 원하는,3,0,0,0,0,0,-1,want independence
다이빙,3,0,0,0,0,0,-1,diving
성실,3,0,0,0,0,0,-1,Sincerity
잔인한,0,1,0,0,2,0,3,cruel
뜨거운 성격,1,2,0,0,0,0,0.3333333333,hot personality
뜨거운 사람,2,1,0,0,0,0,-0.3333333333,hot guy
보드카,3,0,0,0,0,0,-1,vodka
탈레반,0,0,1,0,2,0,3.333333333,Taliban
웃는,3,0,0,0,0,0,-1,smiling
경상도 사투리,3,0,0,0,0,0,-1,Gyeongsang-do dialect
만화와 애니메이션을 잘 만듦,3,0,0,0,0,0,-1,Good at making comics and animations
인구가 많음,3,0,0,0,0,0,-1,Populated
온순한,3,0,0,0,0,0,-1,docile
buddhist,3,0,0,0,0,0,-1,buddhist
낭만적인 사람,3,0,0,0,0,0,-1,romantic person
라면을 많이 먹습니다,3,0,0,0,0,0,-1,I eat a lot of ramen
깔끔합니다.,3,0,0,0,0,0,-1,It's neat.
음식 맛있게 만드는,3,0,0,0,0,0,-1,making food delicious
스트레스,1,1,0,0,1,0,1.333333333,stress
컴퓨터 기술,3,0,0,0,0,0,-1,computer technology
먹을 것을 좋아합니다,3,0,0,0,0,0,-1,I like to eat
깨끗함,3,0,0,0,0,0,-1,clean
퉁명스러움,1,1,1,0,0,0,0.6666666667,bluntness
지도자,3,0,0,0,0,0,-1,Leader
쇼팽,3,0,0,0,0,0,-1,Chopin
지하철을 타다,3,0,0,0,0,0,-1,take the subway
넓은,3,0,0,0,0,0,-1,large
음식을 잘 먹는다,3,0,0,0,0,0,-1,eat well
냉정하다,2,1,0,0,0,0,-0.3333333333,cool
세련된,3,0,0,0,0,0,-1,Refined
무례,0,1,1,0,1,0,2.333333333,Despite
유네스코 세계문화유산,3,0,0,0,0,0,-1,UNESCO World Heritage Site
열정,3,0,0,0,0,0,-1,Passion
인구가 많다,3,0,0,0,0,0,-1,has a large population
바쁜 사람,3,0,0,0,0,0,-1,busy person
사투리,3,0,0,0,0,0,-1,dialect
굳건한,3,0,0,0,0,0,-1,firm
멕시코 음식,3,0,0,0,0,0,-1,mexican food
관광객,3,0,0,0,0,0,-1,tourist
스포츠 선수,3,0,0,0,0,0,-1,sports player
정중한,3,0,0,0,0,0,-1,polite
조직력,3,0,0,0,0,0,-1,organizational skills
엄격함,3,0,0,0,0,0,-1,strictness
빨리 걸음,3,0,0,0,0,0,-1,walk quickly
근면성,3,0,0,0,0,0,-1,diligence
해산물,3,0,0,0,0,0,-1,seafood
냉정한,2,1,0,0,0,0,-0.3333333333,cool
이기적인 사람,0,2,1,0,0,0,1.333333333,self-centered person
춘천,3,0,0,0,0,0,-1,Chun Cheon
봉인,3,0,0,0,0,0,-1,seal
종교적,3,0,0,0,0,0,-1,religious
풍차,3,0,0,0,0,0,-1,windmill
무술,2,1,0,0,0,0,-0.3333333333,Martial Arts
악기 연주,3,0,0,0,0,0,-1,playing a musical instrument
커피,3,0,0,0,0,0,-1,coffee
폭력적,0,0,0,1,2,0,3.666666667,violent
깍쟁이,2,1,0,0,0,0,-0.3333333333,miser
짧은,3,0,0,0,0,0,-1,short
성지,3,0,0,0,0,0,-1,holy place
햄버거,3,0,0,0,0,0,-1,hamburger
가족 중심적인,3,0,0,0,0,0,-1,family oriented
바람둥이,2,0,0,1,0,0,0.3333333333,flirt
정열적인,3,0,0,0,0,0,-1,passionate
낙타,3,0,0,0,0,0,-1,camel
털털,3,0,0,0,0,0,-1,fluffy
폴란드어,3,0,0,0,0,0,-1,polish
충직한,3,0,0,0,0,0,-1,loyal
섬에 사는 사람,2,1,0,0,0,0,-0.3333333333,island dweller
슬로베니아어를 말합니다,3,0,0,0,0,0,-1,speaks Slovenian
정의,3,0,0,0,0,0,-1,Justice
창의적인 사람,3,0,0,0,0,0,-1,creative person
유대인,3,0,0,0,0,0,-1,Jew
부자,3,0,0,0,0,0,-1,the rich
민주적,3,0,0,0,0,0,-1,democratic
가족 지향적인,3,0,0,0,0,0,-1,family oriented
백인,3,0,0,0,0,0,-1,White
개척자 정신,3,0,0,0,0,0,-1,pioneer spirit
신비함,3,0,0,0,0,0,-1,mysterious
깔끔하다,3,0,0,0,0,0,-1,It is clean
탐욕,0,2,0,0,1,0,2,avarice
사무라이,2,0,0,1,0,0,0.3333333333,samurai
시간을 잘 지키는,3,0,0,0,0,0,-1,punctual
뚝심,3,0,0,0,0,0,-1,perseverance
화려한,3,0,0,0,0,0,-1,fancy
깡패,0,0,0,1,2,0,3.666666667,bully
멸종된,3,0,0,0,0,0,-1,extinct
무뚝뚝한 사람,3,0,0,0,0,0,-1,yahoo
덜렁대다,3,0,0,0,0,0,-1,rattle
철산,3,0,0,0,0,0,-1,Cheolsan
강원도 사투리,3,0,0,0,0,0,-1,Gangwon-do dialect
손짓,3,0,0,0,0,0,-1,signs
자전거 사랑,3,0,0,0,0,0,-1,bike love
은둔자,3,0,0,0,0,0,-1,hermit
kemajuan,2,0,0,0,0,1,-0.6666666667,kemajuan
냉철함,3,0,0,0,0,0,-1,cool-headedness
기술을 사랑하는 사람,3,0,0,0,0,0,-1,someone who loves technology
히말라야,3,0,0,0,0,0,-1,Himalayas
신사적,3,0,0,0,0,0,-1,gentlemanly
실용적인,3,0,0,0,0,0,-1,useful
자유를 사랑,3,0,0,0,0,0,-1,love freedom
파나마 운하,3,0,0,0,0,0,-1,panama canal
철학,3,0,0,0,0,0,-1,philosophy
바다를 좋아함,3,0,0,0,0,0,-1,love the sea
산에 사는 사람들,3,0,0,0,0,0,-1,people living in the mountains
대자연,3,0,0,0,0,0,-1,nature
닌자,2,1,0,0,0,0,-0.3333333333,Ninja
의젓한,3,0,0,0,0,0,-1,dignified
훌륭함,3,0,0,0,0,0,-1,splendor
세련됨,3,0,0,0,0,0,-1,smartness
음식을 많이 먹었습니다,3,0,0,0,0,0,-1,ate a lot of food
활발한,3,0,0,0,0,0,-1,active
털이 없는,3,0,0,0,0,0,-1,smooth
존경,3,0,0,0,0,0,-1,respect
야구 선수,3,0,0,0,0,0,-1,baseball player
제주도 방언,3,0,0,0,0,0,-1,Jeju Island dialect
해운,3,0,0,0,0,0,-1,shipping
음식을 좋아함,3,0,0,0,0,0,-1,loves food
의리 있는,3,0,0,0,0,0,-1,loyal
큽니다,3,0,0,0,0,0,-1,It's big
인심이 후함,3,0,0,0,0,0,-1,Generosity
혁명적,3,0,0,0,0,0,-1,revolutionary
기술을 잘 만듦,3,0,0,0,0,0,-1,good at making technology
조용히,3,0,0,0,0,0,-1,quietly
인자함,3,0,0,0,0,0,-1,Kindness
drunk,3,0,0,0,0,0,-1,drunk
많은 사람,3,0,0,0,0,0,-1,many people
지혜로운,3,0,0,0,0,0,-1,wise
민주화 운동,3,0,0,0,0,0,-1,Democratic movement
파스타,3,0,0,0,0,0,-1,pasta
경기도민,3,0,0,0,0,0,-1,Gyeonggi-do residents
콧수염,3,0,0,0,0,0,-1,mustache
말을 많이 합니다,3,0,0,0,0,0,-1,talks a lot
똑똑했다,3,0,0,0,0,0,-1,was smart
멕시코 요리,3,0,0,0,0,0,-1,mexican cuisine
부유,3,0,0,0,0,0,-1,floating
춤을 많이 췄다.,3,0,0,0,0,0,-1,I danced a lot.
우아함,3,0,0,0,0,0,-1,elegance
독재적,0,1,2,0,0,0,1.666666667,dictatorial
중립적인,3,0,0,0,0,0,-1,neutral
중국어를 잘함,3,0,0,0,0,0,-1,Good at Chinese
부유함,3,0,0,0,0,0,-1,wealth
쌀을 많이 먹습니다.,3,0,0,0,0,0,-1,I eat a lot of rice.
낙후된,3,0,0,0,0,0,-1,underdeveloped
호전적인,1,1,0,1,0,0,1,warlike
솔직,3,0,0,0,0,0,-1,frankness
욕심 많은,1,2,0,0,0,0,0.3333333333,avid
평화 사랑,3,0,0,0,0,0,-1,peace love
훌륭한 사람,3,0,0,0,0,0,-1,great person
절제,3,0,0,0,0,0,-1,moderation
무술을 잘한다,2,1,0,0,0,0,-0.3333333333,good at martial arts
국밥,3,0,0,0,0,0,-1,Gukbap
몽골리안,3,0,0,0,0,0,-1,Mongolian
음식을 잘함,3,0,0,0,0,0,-1,good at food
철도,3,0,0,0,0,0,-1,railroad
철탑,3,0,0,0,0,0,-1,pylon
독단적,0,3,0,0,0,0,1,dogmatic
현실적,3,0,0,0,0,0,-1,realistic
험난한,3,0,0,0,0,0,-1,rough
강원도 사람이다,3,0,0,0,0,0,-1,I am from Gangwon-do
등산가,3,0,0,0,0,0,-1,climber
