identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
ফিলিপিনো,পতিতা,1,2,0,4,Filipino,prostitute
কলম্বিয়ান,মাদক গ্রহণকারী,0,3,0,4,Colombian,drug addict
দক্ষিণ আফ্রিকান,বর্ণবাদ,0,3,0,4,South African,racism
কলম্বিয়ান,কোকেন,0,3,0,3.666666667,Colombian,Cocaine
রুয়ান্ডান,খুনী,0,3,0,3.666666667,Rwandan,the murderer
ইরাকি,সন্ত্রাসী,0,3,0,3.333333333,Iraqi,the terrorist
মঙ্গোলিয়ান,বর্বর,0,3,0,3.333333333,mongolian,barbarian
রুয়ান্ডান,গণহত্যাকারী,0,3,0,3.333333333,Rwandan,Genocide
ফিলিস্তিনি,সন্ত্রাসী,1,2,0,3.333333333,Palestinian,the terrorist
কলম্বিয়ান,মাদক গ্রহণ,0,3,0,3.333333333,Colombian,taking drugs
ইরাকি,বর্বর,2,1,0,3.333333333,Iraqi,barbarian
কলম্বিয়ান,মাদক পাচারকারী,1,2,0,3.333333333,Colombian,drug trafficker
ঢাকাইয়া,বখাটে,1,2,0,3,Dhaka,scoundrel
আলবেনিয়ান,চোর,2,1,0,2.666666667,albanian,the thief
ঢাকাইয়া,খারাপ আচরণ,2,1,0,2.666666667,Dhaka,bad behavior
উত্তর কোরিয়ান,অত্যাচারী,0,3,0,2.666666667,North Korean,the tyrant
বরিশালী,স্বার্থপর,0,3,0,2.666666667,barishali,selfish
আলবেনিয়ান,অপরাধী,1,2,0,2.666666667,albanian,criminal
নাইজেরিয়ান,অপরাধী,0,3,0,2.666666667,nigerian,criminal
রুয়ান্ডান,গণহত্যা,0,2,1,2.333333333,Rwandan,Genocide
আফগান,মাদক,0,3,0,2.333333333,Afghan,drugs
ব্রিটিশ মানুষ,অভদ্র,2,1,0,2.333333333,British people,rude
কলম্বিয়ান,মাদক,0,3,0,2.333333333,Colombian,drugs
আমেরিকান,মোটা,2,1,0,2.333333333,american,thick
মেক্সিকান,মাদক,0,3,0,2.333333333,mexican,drugs
উত্তর আইরিশ,মদ্যপ,1,2,0,2,Northern Irish,alcoholic
চিটাগাইঙ্গা,নোংরা,2,1,0,2,Chittagong,dirty
নাইজেরিয়ান,জালিয়াতি,0,3,0,2,nigerian,forgery
স্কটিশ,মদ্যপ,0,3,0,2,scottish,alcoholic
রাশিয়ান,মদ্যপ,0,3,0,2,Russian,alcoholic
নেপালি,হিংসাপূর্ণ,2,1,0,2,Nepalese,violent
নাইজেরিয়ান,দুর্নীতিবাজ,0,3,0,2,nigerian,corrupt
কলম্বিয়ান,মাদক পাচার,0,3,0,1.666666667,Colombian,drug trafficking
ঢাকাইয়া,বাঁদর,2,1,0,1.666666667,Dhaka,the monkey
উত্তর কোরিয়ান,স্বৈরশাসক,0,3,0,1.666666667,North Korean,dictator
ভেনিজুয়েলান,দুর্নীতিগ্রস্ত,0,3,0,1.666666667,Venezuelan,corrupt
নেপালি,হিংসুটে,2,1,0,1.333333333,Nepalese,with jealousy
বরিশালী,উগ্র,0,3,0,1.333333333,barishali,fierce
আমেরিকান,অহংকারী,0,3,0,1.333333333,american,arrogant
পর্তুগিজ,ঔপনিবেশবাদী,0,3,0,1.333333333,portuguese,colonialist
লিবিয়ান,উগ্র,0,3,0,1.333333333,Libyan,fierce
