Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
drogenhändler,0,0,0,0,3,0,4,drug dealer
criminal,0,0,0,0,3,0,4,criminal
terroristen,0,0,0,0,3,0,4,terrorists
kriminell,0,0,0,1,2,0,3.666666667,criminal
illegale,0,0,0,1,2,0,3.666666667,illegal
terrorist,0,0,0,1,2,0,3.666666667,terrorist
illegal,0,0,0,2,1,0,3.333333333,illegal
dick,0,0,1,0,2,0,3.333333333,thick
aufdringlich,0,0,1,0,2,0,3.333333333,intrusive
betrüger,0,0,0,2,1,0,3.333333333,cheater
arrogant,0,0,1,1,1,0,3,arrogant
kommunist,0,0,1,1,1,0,3,Communist
dumm,0,0,2,0,1,0,2.666666667,dumb
schlecht,0,0,2,0,1,0,2.666666667,bad
geizig,0,0,2,0,1,0,2.666666667,stingy
unhöflich,0,0,2,0,1,0,2.666666667,impolite
betrügerisch,0,0,2,0,1,0,2.666666667,fraudulent
egoistisch,0,0,2,0,1,0,2.666666667,egotistical
aggressiv,0,0,2,0,1,0,2.666666667,aggressive
snobistisch,0,0,2,0,1,0,2.666666667,snobbish
kolonialistisch,0,0,2,0,1,0,2.666666667,colonialist
rassistisch,1,0,0,0,2,0,2.333333333,racist
kriegsverbrecher,1,0,0,0,2,0,2.333333333,war criminal
belästigend,1,0,0,0,2,0,2.333333333,harassing
verschwenderisch,0,0,2,1,0,0,2.333333333,wasteful
schick,1,0,0,0,2,0,2.333333333,chic
gierig,0,0,2,1,0,0,2.333333333,greedy
nackt,1,0,0,1,1,0,2,naked
schiitischer muslim,1,0,0,1,1,0,2,Shia Muslim
diktatur,1,0,0,1,1,0,2,dictatorship
diktator,1,0,0,1,1,0,2,dictator
barbarisch,1,0,0,1,1,0,2,barbaric
elend,0,1,1,1,0,0,2,misery
korrupt,1,0,0,1,1,0,2,corrupt
mafia,1,0,0,1,1,0,2,mafia
unterdrückt,1,0,0,1,1,0,2,suppressed
redselig,1,0,0,1,1,0,2,talkative
kaufsüchtig,0,1,1,1,0,0,2,addicted to shopping
kriegerisch,0,0,3,0,0,0,2,warlike
tyrannisch,1,0,0,1,1,0,2,tyrannical
brutal,1,0,0,1,1,0,2,brutally
flüchtlinge,1,0,0,1,1,0,2,refugees
ethnische säuberung,1,0,1,0,1,0,1.666666667,ethnic cleansing
rebellisch,1,0,1,0,1,0,1.666666667,rebellious
flüchtling,1,0,0,2,0,0,1.666666667,refugee
betteln,1,0,1,0,1,0,1.666666667,beg
geldgierig,1,0,0,2,0,0,1.666666667,greedy
verärgert,1,0,1,0,1,0,1.666666667,annoyed
autoritär,1,0,1,0,1,0,1.666666667,authoritarian
gefährlich,1,0,1,0,1,0,1.666666667,dangerous
zionistisch,0,1,2,0,0,0,1.666666667,Zionist
diktatorisch,1,0,1,0,1,0,1.666666667,dictatorial
bettler,1,0,1,0,1,0,1.666666667,beggar
