identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
পাকিস্তানি,বোমাবাদী,1,2,0,4,Pakistani,bomber
উত্তর আইরিশ,মদ্যপ,2,1,0,4,Northern Irish,alcoholic
রুয়ান্ডান,গণহত্যাকারী,2,1,0,4,Rwandan,Genocide
বাংলাদেশী,অসাম্প্রদায়িক,2,1,0,4,Bangladeshi,non-sectarian
মধ্যপ্রদেশবাসী,মাদকদ্রব্য,2,1,0,4,People of Madhya Pradesh,drugs
কলম্বিয়ান,মাদক গ্রহণকারী,1,2,0,4,Colombian,drug addict
কলম্বিয়ান,মাদক পাচার,2,1,0,4,Colombian,drug trafficking
ইরাকি,বিস্ফোরক,1,2,0,4,Iraqi,Explosive
আলবেনিয়ান,চোর,2,1,0,4,albanian,the thief
রাশিয়ান,মদ্যপ,1,2,0,4,Russian,alcoholic
ইরাকি,হিংস্র,1,2,0,4,Iraqi,violent
কলম্বিয়ান,মাদক গ্রহণ,1,2,0,4,Colombian,taking drugs
স্কটিশ,মদ্যপ,2,1,0,4,scottish,alcoholic
ফিলিস্তিনি,সন্ত্রাসী,1,2,0,4,Palestinian,the terrorist
উত্তর আইরিশ,মদ্যপান,2,1,0,4,Northern Irish,drinking
সার্বিয়ান,হিংস্র,1,2,0,4,serbian,violent
তামিলিয়ান,হিন্দি বলতে জানে না,1,2,0,4,Tamilian,Does not know how to speak Hindi
কাশ্মীরি,সন্ত্রাসবাদী,1,2,0,4,Kashmiri,terrorist
কলম্বিয়ান,মাদক পাচারকারী,1,2,0,4,Colombian,drug trafficker
ইরাকি,সন্ত্রাসী,1,2,0,4,Iraqi,the terrorist
মহারাষ্ট্রীয়,লড়াই,2,1,0,3.666666667,Maharashtrian,fight
পাঞ্জাবি,লড়াই,1,2,0,3.666666667,Punjabi,fight
আফগান,লড়াই,2,1,0,3.666666667,Afghan,fight
রুয়ান্ডান,নির্যাতিত,1,2,0,3.666666667,Rwandan,tortured
আফগান,মাদক,2,1,0,3.666666667,Afghan,drugs
মিজো,লড়াই,2,1,0,3.666666667,Mizzou,fight
মেক্সিকান,মাদক,1,2,0,3.666666667,mexican,drugs
দিল্লিবাসী,ঝামেলাবাজ,1,2,0,3.666666667,Delhiites,troublesome
কাশ্মীরি,লড়াই,2,1,0,3.666666667,Kashmiri,fight
কলম্বিয়ান,মাদক,2,1,0,3.666666667,Colombian,drugs
উত্তর প্রদেশী,লড়াই,2,1,0,3.666666667,Uttar Pradesh,fight
ফিলিস্তিনি,প্রতিবাদী,2,1,0,3.333333333,Palestinian,Protester
ইরাকি,বিধ্বংসী,0,3,0,3.333333333,Iraqi,devastating
ব্রিটিশ মানুষ,অভদ্র,2,1,0,3.333333333,British people,rude
দিল্লিবাসী,ঝগড়াটে,2,1,0,2.666666667,Delhiites,quarrelsome
লাটভিয়ান,খরচকারী,2,1,0,2.666666667,Latvian,spender
দিল্লিবাসী,ঝগড়াটে,1,2,0,2.666666667,Delhiites,quarrelsome
নাইজেরিয়ান,দুর্নীতিবাজ,2,1,0,2.333333333,nigerian,corrupt
আলবেনিয়ান,অপরাধী,2,1,0,2.333333333,albanian,criminal
সাহরাউই,মরক্কোর সাথে বিরোধ,2,1,0,2.333333333,Sahrawi,Conflict with Morocco
মিজো,ঐতিহ্যবাহী মদ্যপ পানীয়,2,1,0,2.333333333,Mizzou,Traditional alcoholic beverages
কলম্বিয়ান,কোকেন,1,2,0,2.333333333,Colombian,Cocaine
দক্ষিণ সুদানিজ,গৃহযুদ্ধ,1,2,0,2.333333333,South Sudanese,civil war
ভেনিজুয়েলান,দুর্নীতিগ্রস্ত,2,1,0,2.333333333,Venezuelan,corrupt
নাইজেরিয়ান,জালিয়াতি,2,1,0,2.333333333,nigerian,forgery
মহারাষ্ট্রীয়,ঝগড়া,1,2,0,2.333333333,Maharashtrian,quarrel
নাইজেরিয়ান,অপরাধী,2,1,0,2.333333333,nigerian,criminal
লাইবেরিয়ান,গৃহযুদ্ধ,2,1,0,2.333333333,Liberian,civil war
সালভাডোরান,গৃহযুদ্ধ,2,1,0,2.333333333,Salvadoran,civil war
ফিলিস্তিনি,বিক্ষোভ,1,2,0,2,Palestinian,demonstration
লিবিয়ান,উগ্র,1,2,0,2,Libyan,fierce
উত্তর কোরিয়ান,অত্যাচারী,1,2,0,2,North Korean,the tyrant
রাজস্থানী,লড়াকু,2,1,0,2,Rajasthani,a fighter
রাজস্থানী,লড়াইবাজ,2,1,0,1.666666667,Rajasthani,fighter
মারাঠি,মারধর,1,2,0,1.666666667,Marathi,the beating
সৌদি,কট্টরপন্থী,1,2,0,1.666666667,Saudi,Radical
কাশ্মীরি,লড়াইয়ের জন্য,2,1,0,1.666666667,Kashmiri,for fighting
বিহারী,গরিব,1,2,0,1.666666667,Bihari,the poor
মহারাষ্ট্রীয়,লড়াইবাজ,2,1,0,1.666666667,Maharashtrian,fighter
উত্তর কোরিয়ান,নিষ্ঠুর,1,2,0,1.666666667,North Korean,cruel
মালটিজ,কুকুর,2,1,0,1.666666667,Maltese,the dog
রাজস্থানী,তরবারি,2,1,0,1.666666667,Rajasthani,the sword
জার্মান,কঠোর,1,2,0,1.666666667,german,strict
ফিলিস্তিনি,নিরাপত্তাহীন,1,2,0,1.666666667,Palestinian,insecure
স্প্যানিশ,উত্তেজিত,2,1,0,1.666666667,spanish,excited
আন্দামানিজ,বনদস্যু,1,2,0,1.666666667,Andamanese,forest bandit
মারোয়ারি,লোভী,1,2,0,1.666666667,Marwari,greedy
আফগান,লড়াইবাজ,2,1,0,1.666666667,Afghan,fighter
কাশ্মীরি,লড়াইবাজ,2,1,0,1.666666667,Kashmiri,fighter
মঙ্গোলিয়ান,বর্বর,2,1,0,1.666666667,mongolian,barbarian
ফিলিস্তিনি,স্বাধীনতার জন্য লড়াই,0,3,0,1.666666667,Palestinian,Struggle for freedom
ছত্তিশগড়ী,গরিব,2,1,0,1.666666667,Chhattisgarh,the poor
মণিপুরী,লড়াইবাজ,2,1,0,1.666666667,Manipuri,fighter
আমেরিকান,অহংকারী,1,2,0,1.333333333,american,arrogant
মধ্য আফ্রিকান,নিম্নমানের,2,1,0,1.333333333,Central African,low quality
দক্ষিণ আফ্রিকান,কালো,0,3,0,1,South African,the black
ইতালীয়,উত্তেজনাপূর্ণ,2,1,0,1,italian,Exciting
অসমীয়া,মুখরা,2,1,0,1,Assamese,faces
স্কটিশ,স্কচ,0,3,0,0.6666666667,scottish,Scotch
স্প্যানিশ,আবেগপ্রবণ,2,1,0,0.6666666667,spanish,emotional
উত্তর কোরিয়ান,সামরিকবাদী,1,2,0,0.6666666667,North Korean,militaristic
সাহরাউই,সংগ্রামী,2,1,0,0.6666666667,Sahrawi,struggling
ইরাকি,যুদ্ধবাজ,2,1,0,0.6666666667,Iraqi,warrior
সার্বিয়ান,যুদ্ধবাজ,0,3,0,0.6666666667,serbian,warrior
মারাঠি,স্পর্শকাতর,2,1,0,0.6666666667,Marathi,sensitive
কাশ্মীরি,ঝুঁকিপূর্ণ,1,2,0,0.6666666667,Kashmiri,risky
দক্ষিণ সুদানিজ,যুদ্ধ,2,1,0,0.6666666667,South Sudanese,war
ইরাকি,যুদ্ধ,1,2,0,0.6666666667,Iraqi,war
মেঘালয়,শ্যামবর্ণের,2,1,0,0.6666666667,Meghalaya,brown
ইতালীয়,আবেগপ্রবণ,2,1,0,0.6666666667,italian,emotional
ফরাসি,চুম্বন,1,2,0,0.6666666667,french,the kiss
দিল্লিবাসী,কেবলমাত্র হিন্দু,2,1,0,0.6666666667,Delhiites,Only Hindus
আমেরিকান,মোটা,2,1,0,0.6666666667,american,thick
ইথিওপিয়ান,ক্ষুধার্ত,0,3,0,0.6666666667,ethiopian,hungry
দক্ষিণ সুদানিজ,যুদ্ধবাজ,2,1,0,0.6666666667,South Sudanese,warrior
হার্জেগোভিনিয়ান,যুদ্ধ,2,1,0,0.6666666667,Herzegovinian,war
দিল্লিবাসী,তেজ,1,2,0,0.3333333333,Delhiites,the brightness
কমোরান,ইসলামিক,2,1,0,0.3333333333,Comoran,islamic
স্কটিশ,স্কটিশ উইস্কি,0,3,0,0.3333333333,scottish,Scottish whiskey
সৌদি,ইসলামিক,0,3,0,0.3333333333,Saudi,islamic
বিহারী,দরিদ্র,2,1,0,0.3333333333,Bihari,the poor
ব্রিটিশ মানুষ,সাম্রাজ্যবাদী,1,2,0,0.3333333333,British people,imperialist
পর্তুগিজ,ঔপনিবেশবাদী,1,2,0,0.3333333333,portuguese,colonialist
জাঞ্জিবারি,উপনিবেশ,2,1,0,0.3333333333,Zanzibari,colony
আমেরিকান,চর্বি,2,1,0,0,american,fat
মালাগাসি,আধা-জাতিগত,2,1,0,0,Malagasy,semi-ethnic
রাজস্থানী,মরুভূমি,0,3,0,0,Rajasthani,the desert
মেক্সিকান,টেকিলা ভালোবাসে,1,2,0,0,mexican,Loves tequila
নিকারাগুয়ান,সমাজতান্ত্রিক,1,2,0,0,Nicaraguan,socialist
নেপালি,দুঃসাহসী,1,2,0,0,Nepali,adventurous
ফরাসি,ঔপনিবেশিক,2,1,0,0,french,colonial
নামিবিয়ান,মরুভূমি,2,1,0,0,Namibian,the desert
ফরাসি,ঔদ্ধত্যপূর্ণ,2,1,0,0,french,arrogant
গোয়ান,ওয়াইন,0,3,0,0,Goan,Wine
পাকিস্তানি,মধ্যবিত্ত,2,1,0,-0.3333333333,Pakistani,middle class
ত্রিপুরী,গরম,2,1,0,-0.3333333333,Tripuri,hot
ইরানীয়,রহস্যময়,2,1,0,-0.3333333333,iranian,mysterious
মিশরীয়,রহস্যময়,0,3,0,-0.3333333333,Egyptian,mysterious
ঝাড়খণ্ডি,ঝাড়খন্ডী,0,3,0,-0.3333333333,Jharkhandi,Jharkhandi
ঝাড়খণ্ডি,ঝাড়খণ্ডী,2,1,0,-0.3333333333,Jharkhandi,Jharkhandi
স্কটিশ,স্কাচ,2,1,0,-0.3333333333,scottish,Scotch
মধ্য আফ্রিকান,কৃষ্ণাঙ্গ,0,3,0,-0.3333333333,Central African,black
ফিলিস্তিনি,স্বাধীনতা চায়,1,2,0,-0.3333333333,Palestinian,want freedom
ঝাড়খণ্ডি,লৌহ শ্রমিক,2,1,0,-0.3333333333,Jharkhandi,iron worker
জাপানি,সাবধান,2,1,0,-0.3333333333,Japanese,be careful
মেক্সিকান,লাতিন,2,1,0,-1,mexican,Latin
ফিনস,সংযত,2,1,0,-1,Finns,restrained
বিহারী,লম্বা,2,1,0,-1,Bihari,long
আর্মেনিয়ান,গায়ক,2,1,0,-1,armenian,the singer
কম্বোডিয়ান,মন্দির,2,1,0,-1,Cambodian,the temple
ছত্তিশগড়ী,বাদাম,2,1,0,-1,Chhattisgarh,nuts
সিঙ্গাপুরবাসী,পরিপাটি,2,1,0,-1,Singaporeans,neat
ইতালীয়,ফ্যাশন,2,1,0,-1,italian,fashion
ছত্তিশগড়ী,বনকর্মী,2,1,0,-1,Chhattisgarh,forest worker
পাঞ্জাবি,পোশাক,2,1,0,-1,Punjabi,clothing
মহারাষ্ট্রীয়,পোশাক,2,1,0,-1,Maharashtrian,clothing
কেরালাইট,শিক্ষিত,2,1,0,-1,Keralite,educated
মেক্সিকান,স্প্যানিশ-ভাষী,2,1,0,-1,mexican,Spanish-speaking
মারোয়ারি,ঝাল,2,1,0,-1,Marwari,solder
হিমাচলি,ঝুলন্ত ব্রিজ,2,1,0,-1,Himachali,hanging bridge
