Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
spreken kirundi,3,0,0,0,0,0,-1,speak kirundi
dictator,0,0,0,1,2,0,3.666666667,dictator
fris,3,0,0,0,0,0,-1,fresh
in ballingschap,2,1,0,0,0,0,-0.3333333333,in exile
goed in lange afstanden,3,0,0,0,0,0,-1,good at long distances
eten veel kaas,2,1,0,0,0,0,-0.3333333333,eat a lot of cheese
houden van pierogi,3,0,0,0,0,0,-1,love pierogi
oost-europese taal,3,0,0,0,0,0,-1,eastern european language
toeristen,3,0,0,0,0,0,-1,tourists
frieten,3,0,0,0,0,0,-1,fries
antiek,2,1,0,0,0,0,-0.3333333333,antique
geschreven van rechts naar links,3,0,0,0,0,0,-1,written from right to left
onafhankelijk,3,0,0,0,0,0,-1,independent
curry,3,0,0,0,0,0,-1,Curry
bescheiden,3,0,0,0,0,0,-1,modest
mysterieus,3,0,0,0,0,0,-1,mysterious
onverzettelijk,3,0,0,0,0,0,-1,unyielding
nette,3,0,0,0,0,0,-1,neat
bejaard,1,1,1,0,0,0,0.6666666667,elderly
gemeen,0,0,2,1,0,0,2.333333333,mean
glücklich,3,0,0,0,0,0,-1,glücklich
taiwanese,3,0,0,0,0,0,-1,taiwanese
wild,1,2,0,0,0,0,0.3333333333,wild
goed in schaatsen,3,0,0,0,0,0,-1,good at skating
humeurig,1,1,1,0,0,0,0.6666666667,moody
totalitair,0,0,1,2,0,0,2.666666667,totalitarian
drugshandel,0,0,1,1,1,0,3,drug trafficking
brouwerij,3,0,0,0,0,0,-1,brewery
eerlijk,3,0,0,0,0,0,-1,honestly
spreekt nederlands,3,0,0,0,0,0,-1,speaks Dutch
leidend,3,0,0,0,0,0,-1,leading
gewelddadig,0,0,1,0,2,0,3.333333333,violent
niederländisch,3,0,0,0,0,0,-1,Dutch
houden van kaas,3,0,0,0,0,0,-1,love cheese
islamitisch,3,0,0,0,0,0,-1,Islamic
filosofie,3,0,0,0,0,0,-1,philosophy
eet graag,3,0,0,0,0,0,-1,like to eat
goed in bergbeklimmers,3,0,0,0,0,0,-1,good at mountaineering
illegaal,0,2,0,1,0,0,1.666666667,illegal
danser,3,0,0,0,0,0,-1,dancer
wiskunde,3,0,0,0,0,0,-1,math
verdomd,0,1,1,1,0,0,2,damn
bierdrinkend,1,2,0,0,0,0,0.3333333333,drinking beer
brabants,3,0,0,0,0,0,-1,Brabant
flitsende kleding,3,0,0,0,0,0,-1,flashy clothes
joden,3,0,0,0,0,0,-1,Jews
slank,3,0,0,0,0,0,-1,slim
ruig,1,1,1,0,0,0,0.6666666667,rough
honkbal,3,0,0,0,0,0,-1,baseball
self-controlled,3,0,0,0,0,0,-1,self controlled
spreekt veel,1,2,0,0,0,0,0.3333333333,speaks a lot
olympische spelen,3,0,0,0,0,0,-1,Olympics
geamuseerd,3,0,0,0,0,0,-1,amused
ontwikkeld,3,0,0,0,0,0,-1,developed
engelse taal,3,0,0,0,0,0,-1,English language
schoon,3,0,0,0,0,0,-1,beautiful
houden van garnalen,2,1,0,0,0,0,-0.3333333333,love shrimp
houdt van wijn,3,0,0,0,0,0,-1,likes wine
tapas,3,0,0,0,0,0,-1,tapas
nat,3,0,0,0,0,0,-1,wet
zwart,2,0,1,0,0,0,0,black
grieks,3,0,0,0,0,0,-1,Greek
roodharig,3,0,0,0,0,0,-1,red-haired
houden van eten,3,0,0,0,0,0,-1,love food
sparsam,3,0,0,0,0,0,-1,sparsam
loyal,3,0,0,0,0,0,-1,loyal
houdt van dansen,3,0,0,0,0,0,-1,likes to dance
lokaal,3,0,0,0,0,0,-1,local
samba,3,0,0,0,0,0,-1,samba
nauwkeurig,3,0,0,0,0,0,-1,accurately
eet kaas,3,0,0,0,0,0,-1,eat cheese
ouderwets,2,1,0,0,0,0,-0.3333333333,old-fashioned
drugshandelaar,0,0,1,1,1,0,3,drug trafficker
fanatiek,2,1,0,0,0,0,-0.3333333333,fanatic
smaakvol,3,0,0,0,0,0,-1,tasteful
gehoorzaam,3,0,0,0,0,0,-1,obedient
zigeuner,1,1,1,0,0,0,0.6666666667,Gypsy
spreken manx,3,0,0,0,0,0,-1,speak manx
eilanden,3,0,0,0,0,0,-1,Islands
antwerpen,3,0,0,0,0,0,-1,antwerp
agressief,0,0,2,1,0,0,2.333333333,aggressive
wijs,3,0,0,0,0,0,-1,show
schapenboeren,2,1,0,0,0,0,-0.3333333333,sheep farmers
revolutionair,3,0,0,0,0,0,-1,revolutionary
emotioneel,2,1,0,0,0,0,-0.3333333333,emotional
frans,3,0,0,0,0,0,-1,French
droogte,3,0,0,0,0,0,-1,drought
communist,1,2,0,0,0,0,0.3333333333,Communist
eet veel,2,1,0,0,0,0,-0.3333333333,eat a lot
koelblütig,2,1,0,0,0,0,-0.3333333333,cold-blooded
houden van rakija,3,0,0,0,0,0,-1,love rakija
goed in rugby,3,0,0,0,0,0,-1,good at rugby
kosmopolitisch,3,0,0,0,0,0,-1,cosmopolitan
goed in zeilen,3,0,0,0,0,0,-1,good at sailing
materialistisch,1,1,1,0,0,0,0.6666666667,materialistic
likes to dance,3,0,0,0,0,0,-1,likes to dance
drinken guinness,3,0,0,0,0,0,-1,drink guinness
houdt van bier,2,1,0,0,0,0,-0.3333333333,likes beer
extrovert,3,0,0,0,0,0,-1,extrovert
georganiseerd,3,0,0,0,0,0,-1,organized
voorzichtig,3,0,0,0,0,0,-1,carefully
vreedzaam,3,0,0,0,0,0,-1,peaceful
veilig,3,0,0,0,0,0,-1,safe
paarden,3,0,0,0,0,0,-1,horses
hongerig,3,0,0,0,0,0,-1,hungry
goed in korfbal,3,0,0,0,0,0,-1,good at korfball
dorst,3,0,0,0,0,0,-1,thirst
houden van thee,2,1,0,0,0,0,-0.3333333333,love tea
vriendelijk,3,0,0,0,0,0,-1,friendly
kilt,3,0,0,0,0,0,-1,kilt
spreekt duits,3,0,0,0,0,0,-1,speaks German
klein,3,0,0,0,0,0,-1,small
houdt van hamburgers,2,1,0,0,0,0,-0.3333333333,likes burgers
zeevaarders,3,0,0,0,0,0,-1,seafarers
muzikaal,3,0,0,0,0,0,-1,musical
trots op hun stad,3,0,0,0,0,0,-1,proud of their city
draagt kilt,3,0,0,0,0,0,-1,wears kilt
fahrrad,3,0,0,0,0,0,-1,fahrrad
ijverig,3,0,0,0,0,0,-1,diligent
roodharige,3,0,0,0,0,0,-1,redhead
käse,3,0,0,0,0,0,-1,cheese
goed in paardrijden,3,0,0,0,0,0,-1,good at horse riding
dirigent,3,0,0,0,0,0,-1,conductor
freundlich,3,0,0,0,0,0,-1,friendly
fleißig,3,0,0,0,0,0,-1,fleßig
gek op voetbal,3,0,0,0,0,0,-1,crazy about football
taalkundig,3,0,0,0,0,0,-1,linguistic
pasta,3,0,0,0,0,0,-1,pasta
chaotisch,1,1,1,0,0,0,0.6666666667,chaotic
zingen,3,0,0,0,0,0,-1,to sing
praat graag,3,0,0,0,0,0,-1,likes to talk
plichtsgetrouw,3,0,0,0,0,0,-1,dutiful
kieskeurige,3,0,0,0,0,0,-1,picky
verfijnd,3,0,0,0,0,0,-1,refined
portugese,3,0,0,0,0,0,-1,portuguese
houdt van sushi,3,0,0,0,0,0,-1,likes sushi
intellectueel,3,0,0,0,0,0,-1,intellectual
spreken goed engels,3,0,0,0,0,0,-1,speak good english
veel regen,3,0,0,0,0,0,-1,a lot of rain
houden van skiën,3,0,0,0,0,0,-1,love skiing
punctueel,3,0,0,0,0,0,-1,punctual
quinoa,3,0,0,0,0,0,-1,Quinoa
goed in boksen,3,0,0,0,0,0,-1,good at boxing
grof,1,1,0,1,0,0,1,course
piraten,1,0,0,2,0,0,1.666666667,pirates
elegant,3,0,0,0,0,0,-1,elegant
boeren,2,0,1,0,0,0,0,farmers
praatgraag,2,1,0,0,0,0,-0.3333333333,chatty
optimistisch,3,0,0,0,0,0,-1,optimistic
universiteit,3,0,0,0,0,0,-1,university
trots op hun dialect,3,0,0,0,0,0,-1,proud of their dialect
industrieel,3,0,0,0,0,0,-1,industrial
spreken malagasy,3,0,0,0,0,0,-1,speak Malagasy
spreken luid,1,2,0,0,0,0,0.3333333333,speak loudly
geciviliseerd,3,0,0,0,0,0,-1,civilized
oplettend,3,0,0,0,0,0,-1,observant
dick,0,0,0,2,1,0,3.333333333,Dick
zeemansvolk,3,0,0,0,0,0,-1,sailor people
vegetarisch,3,0,0,0,0,0,-1,vegetarian
hygiënisch,3,0,0,0,0,0,-1,hygienic
oud,1,1,1,0,0,0,0.6666666667,old
fries,3,0,0,0,0,0,-1,Frisian
puur,3,0,0,0,0,0,-1,pure
groen,3,0,0,0,0,0,-1,green
stijf,1,1,1,0,0,0,0.6666666667,stiff
autoritaire,0,0,3,0,0,0,2,authoritarian
anti-amerikaans,0,2,1,0,0,0,1.333333333,anti-american
eigenwijs,2,0,1,0,0,0,0,stubborn
vrijgevig,3,0,0,0,0,0,-1,generous
argentijns,3,0,0,0,0,0,-1,Argentinian
strikt,3,0,0,0,0,0,-1,strict
precies,3,0,0,0,0,0,-1,precisely
plichtsbewust,3,0,0,0,0,0,-1,conscientious
zijn erg beleefd,3,0,0,0,0,0,-1,are very polite
engels,3,0,0,0,0,0,-1,English
irritant,0,2,0,1,0,0,1.666666667,irritating
spaans,3,0,0,0,0,0,-1,Spanish
individualistisch,3,0,0,0,0,0,-1,individualistic
noordpool,3,0,0,0,0,0,-1,Arctic
marathon,3,0,0,0,0,0,-1,marathon
eten baguettes,3,0,0,0,0,0,-1,eat baguettes
calvinistisch,3,0,0,0,0,0,-1,Calvinistic
sigaren,3,0,0,0,0,0,-1,cigars
atletisch,3,0,0,0,0,0,-1,athletic
kalte,2,1,0,0,0,0,-0.3333333333,calm
moeilijk,1,1,1,0,0,0,0.6666666667,difficult
goed in voetballen,3,0,0,0,0,0,-1,good at football
drinken veel,1,2,0,0,0,0,0.3333333333,drink a lot
neutraliteit,3,0,0,0,0,0,-1,neutrality
dynamisch,3,0,0,0,0,0,-1,dynamic
humoristisch,3,0,0,0,0,0,-1,humorous
zakelijk,3,0,0,0,0,0,-1,commercial
consciëntieus,3,0,0,0,0,0,-1,conscientious
houden van groninger bier,3,0,0,0,0,0,-1,love Groningen beer
blank,2,1,0,0,0,0,-0.3333333333,White
eten pasta,3,0,0,0,0,0,-1,eat pasta
houden van paprika,3,0,0,0,0,0,-1,love peppers
gierig,0,2,1,0,0,0,1.333333333,stingy
waterrijk,3,0,0,0,0,0,-1,watery
houden van barbecue,3,0,0,0,0,0,-1,love barbecue
afrikaan,3,0,0,0,0,0,-1,African
loyale,3,0,0,0,0,0,-1,loyal
wijn,3,0,0,0,0,0,-1,wine
lang,3,0,0,0,0,0,-1,long
atleet,3,0,0,0,0,0,-1,athlete
impulsief,3,0,0,0,0,0,-1,impulsive
goed in wiskunde,3,0,0,0,0,0,-1,good at math
spreekt manx,3,0,0,0,0,0,-1,speaks manx
studentenstad,3,0,0,0,0,0,-1,student town
hardloper,3,0,0,0,0,0,-1,Runner
noordelijk,3,0,0,0,0,0,-1,northern
eet veel injera,2,1,0,0,0,0,-0.3333333333,eat a lot of injera
houden van mosselen,3,0,0,0,0,0,-1,love mussels
platteland,3,0,0,0,0,0,-1,country
tropisch,3,0,0,0,0,0,-1,tropical
goed in worstelen,3,0,0,0,0,0,-1,good at wrestling
romantisch,3,0,0,0,0,0,-1,romantic
stijlvol,3,0,0,0,0,0,-1,Stylish
introvert,3,0,0,0,0,0,-1,introverted
hard werken,3,0,0,0,0,0,-1,hard work
khmer,3,0,0,0,0,0,-1,khmer
gronings,3,0,0,0,0,0,-1,Groningen
dijken,3,0,0,0,0,0,-1,dikes
croissant,3,0,0,0,0,0,-1,Croissant
houden van kebab,3,0,0,0,0,0,-1,love kebabs
slordig,1,1,1,0,0,0,0.6666666667,sloppy
bierliefhebbers,2,1,0,0,0,0,-0.3333333333,beer lovers
houd van dijken,3,0,0,0,0,0,-1,love dikes
houden van sauna,3,0,0,0,0,0,-1,love sauna
bierdrinker,2,1,0,0,0,0,-0.3333333333,beer drinker
goed in basketbal,3,0,0,0,0,0,-1,good at basketball
britisch,3,0,0,0,0,0,-1,british
spreken frans,3,0,0,0,0,0,-1,speak French
praat met veel handen,2,1,0,0,0,0,-0.3333333333,talk with many hands
skiën,3,0,0,0,0,0,-1,to ski
goed in klimmen,3,0,0,0,0,0,-1,good at climbing
loyaal,3,0,0,0,0,0,-1,loyal
spreekt frans,3,0,0,0,0,0,-1,speaks French
chauvinistisch,1,2,0,0,0,0,0.3333333333,chauvinistic
feestelijk,3,0,0,0,0,0,-1,festive
houdt van zwemmen,3,0,0,0,0,0,-1,likes swimming
houden van wettersport,3,0,0,0,0,0,-1,love water sports
brit,3,0,0,0,0,0,-1,brit
christelijk,3,0,0,0,0,0,-1,Christian
muziekliefhebbers,3,0,0,0,0,0,-1,music lovers
taai,2,1,0,0,0,0,-0.3333333333,tough
eet met stokken,3,0,0,0,0,0,-1,eat with sticks
koel,2,0,1,0,0,0,0,cool
praat luid,1,1,1,0,0,0,0.6666666667,talk loudly
zeelieden,3,0,0,0,0,0,-1,sailors
engelstalig,3,0,0,0,0,0,-1,in English
drinken veel thee,2,1,0,0,0,0,-0.3333333333,drink a lot of tea
wonen in polders,3,0,0,0,0,0,-1,living in polders
woestijn,3,0,0,0,0,0,-1,desert
vrijheidslievend,3,0,0,0,0,0,-1,freedom-loving
salsa,3,0,0,0,0,0,-1,salsa
drugs,2,0,0,1,0,0,0.3333333333,drugs
basketbal,3,0,0,0,0,0,-1,basketball
plattelandsbewoner,3,0,0,0,0,0,-1,country dweller
bergbeklimmen,3,0,0,0,0,0,-1,mountaineering
nederlandstalig,3,0,0,0,0,0,-1,Dutch speaking
socialisten,3,0,0,0,0,0,-1,socialists
wijn drinken,3,0,0,0,0,0,-1,drink wine
dik,0,1,1,1,0,0,2,fat
grappig,3,0,0,0,0,0,-1,funny
patriotisch,3,0,0,0,0,0,-1,patriotic
gezelligheid,3,0,0,0,0,0,-1,conviviality
nuchter,3,0,0,0,0,0,-1,sober
houdt van skiën,3,0,0,0,0,0,-1,loves skiing
höflich,3,0,0,0,0,0,-1,courtly
spraakzaam,3,0,0,0,0,0,-1,chatty
olierijk,3,0,0,0,0,0,-1,oil-rich
ijs,3,0,0,0,0,0,-1,ice
nauwgezet,3,0,0,0,0,0,-1,meticulous
flegmat,3,0,0,0,0,0,-1,phlegmatic
friet,3,0,0,0,0,0,-1,fries
mooi,3,0,0,0,0,0,-1,Nice
bloembollen,3,0,0,0,0,0,-1,flower bulbs
taco,3,0,0,0,0,0,-1,Taco
russisch,3,0,0,0,0,0,-1,Russian
formeel,3,0,0,0,0,0,-1,formal
lama's,3,0,0,0,0,0,-1,llamas
sushi,3,0,0,0,0,0,-1,Sushi
degelijk,3,0,0,0,0,0,-1,solid
groot,3,0,0,0,0,0,-1,big
kaalkop,0,0,1,2,0,0,2.666666667,baldhead
lacherig,2,1,0,0,0,0,-0.3333333333,giggly
hilarisch,2,1,0,0,0,0,-0.3333333333,hilarious
dansen,3,0,0,0,0,0,-1,dancing
trots,3,0,0,0,0,0,-1,pride
hebben een accent,2,1,0,0,0,0,-0.3333333333,have an accent
houdt van voetbal,3,0,0,0,0,0,-1,likes football
zurück,3,0,0,0,0,0,-1,zurück
engelssprekend,3,0,0,0,0,0,-1,English speaking
dronken,1,0,2,0,0,0,1,drunk
vlaai,3,0,0,0,0,0,-1,pie
illegale,0,1,2,0,0,0,1.666666667,illegal
aardig,3,0,0,0,0,0,-1,nice
houden van carnaval,3,0,0,0,0,0,-1,love carnival
norse,2,0,0,1,0,0,0.3333333333,gruff
typisch nederlands,3,0,0,0,0,0,-1,typically Dutch
houdt van fietsen,3,0,0,0,0,0,-1,likes cycling
brutaal,1,1,1,0,0,0,0.6666666667,cheeky
wetenschappelijk,3,0,0,0,0,0,-1,scientific
deftig,3,0,0,0,0,0,-1,dignified
stil,3,0,0,0,0,0,-1,quiet
krimtataren,2,1,0,0,0,0,-0.3333333333,Crimean Tatars
koud,2,0,1,0,0,0,0,cold
autoritair,0,0,3,0,0,0,2,authoritarian
spreekt limburgs,3,0,0,0,0,0,-1,speaks Limburgish
grijs,2,1,0,0,0,0,-0.3333333333,gray
houden van vrijheid,3,0,0,0,0,0,-1,love freedom
wiskundigen,3,0,0,0,0,0,-1,mathematicians
vis,3,0,0,0,0,0,-1,fish
gemoedelijk,3,0,0,0,0,0,-1,convivial
perfectionistisch,2,1,0,0,0,0,-0.3333333333,perfectionist
zeevarende,3,0,0,0,0,0,-1,seafarer
stier,3,0,0,0,0,0,-1,bull
eigengereed,2,1,0,0,0,0,-0.3333333333,self-employed
wodka,3,0,0,0,0,0,-1,vodka
taal,3,0,0,0,0,0,-1,language
arm,2,1,0,0,0,0,-0.3333333333,arm
koninklijk,3,0,0,0,0,0,-1,royal
