identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Người Colombia,ma túy,0,3,0,4,Colombian,drug
Người Colombia,buôn bán ma túy,1,2,0,4,Colombian,drug dealing
Rwandan,diệt chủng,2,1,0,4,Rwandan,genocide
Người Colombia,buôn ma túy,2,1,0,4,Colombian,drug trafficking
Rwandan,nạn diệt chủng,0,2,1,3.666666667,Rwandan,genocide
Người Serbia,bạo lực,2,1,0,3.666666667,Serbs,violence
Người Bosnia,bạo lực,2,1,0,3.666666667,Bosnian,violence
Người Mỹ,béo phì,1,2,0,3,American,fat
Người Serbia,hung hăng,1,2,0,3,Serbs,rampage
Người Mỹ,ham tiền,1,2,0,3,American,mercenary
Người Iran,nguy hiểm,2,1,0,3,Iranians,danger
người trung,tệ,2,1,0,3,middle person,bad
người ở miền nam việt nam,người ăn thịt chó,2,1,0,3,people in southern Vietnam,dog meat eaters
người trung,thối nát,2,1,0,3,middle person,putrid
người bắc,dữ dằn,1,2,0,2.666666667,northerners,fierce
Người Ấn Độ,bẩn,1,2,0,2.666666667,Indian,dirty
Người Mỹ,to béo,1,2,0,2.666666667,American,big fat
Người Serbia,hung tợn,1,2,0,2.666666667,Serbs,grim
Người Philippines,ăn uống bẩn thỉu,2,1,0,2.666666667,Filipino,Dirty eating
Người Pháp,ngông cuồng,2,1,0,2.666666667,French,extravagant
Người Mỹ,béo,1,1,1,2.666666667,American,fat
người dân miền bắc việt nam,khó tính,0,3,0,2.333333333,people of northern Vietnam,grumpy
Guianese thuộc Pháp,thuộc địa,0,3,0,2.333333333,French Guianese,colony
Người Tây Ban Nha,nóng nảy,0,3,0,2.333333333,Spanish,impatient
người trung,hợm hĩnh,1,2,0,2.333333333,middle person,snobby
Người Mỹ,ích kỷ,1,2,0,2.333333333,American,selfish
người miền nam,nóng nảy,1,2,0,2.333333333,Southerners,impatient
người miền bắc,hung dữ,1,2,0,2.333333333,northerners,ferocious
người miền nam,tẻ nhạt,2,1,0,2.333333333,Southerners,tedious
người miền trung,tẻ nhạt,2,1,0,2.333333333,Central people,tedious
người miền nam việt nam,nước da ngăm đen,2,1,0,2.333333333,Southern Vietnamese people,dark skin
người miền bắc,tẻ nhạt,2,1,0,2.333333333,northerners,tedious
người trung,mập,2,1,0,2.333333333,middle person,fat
Người Mỹ,tham lam,2,1,0,2.333333333,American,greed
Guyan,thuộc địa,2,1,0,2.333333333,Guyanese,colony
Người Colombia,cocaine,2,1,0,2.333333333,Colombian,cocaine
Người Serbia,hung dữ,2,1,0,2.333333333,Serbs,ferocious
Người Phần Lan,lạnh lùng,0,3,0,2,Finnish,cold
Người Thụy Điển,lạnh lùng,0,3,0,2,Swedish,cold
người trung,hiếu chiến,0,3,0,2,middle person,combative
Người Tây Ban Nha,nóng bỏng,0,3,0,2,Spanish,hot
Người Nga,lạnh lùng,0,3,0,2,Russian,cold
người bắc,hiếu chiến,1,2,0,2,northerners,combative
người miền bắc,lạnh lùng,1,2,0,2,northerners,cold
người miền nam,ốm yếu,2,1,0,2,Southerners,weak
Nigerien,tham nhũng,2,1,0,2,Nigerian,corruption
Người Đan Mạch,lạnh lùng,2,1,0,2,Danish,cold
người miền nam việt nam,ăn nhiều,0,3,0,1.666666667,Southern Vietnamese people,eat a lot
Người Albania,tội phạm,0,3,0,1.666666667,Albanian,criminal
Người Ấn Độ,ấn độ giáo,0,3,0,1.666666667,Indian,Hinduism
Người Surinam,có màu da tối,1,2,0,1.666666667,Surinamese,have dark skin color
Người Hà Lan,thực dụng,1,2,0,1.666666667,Dutch,Practical
