identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
पॅलेस्टिनी,अतिरेकी,1,2,0,4,Palestinian,Extremist
पॅलेस्टिनी,दहशतवादी,1,2,0,4,Palestinian,terrorist
पाकिस्तानी,अतिरेकी,0,3,0,4,Pakistani,Extremist
पाकिस्तानी,दहशतवादी,0,3,0,4,Pakistani,terrorist
झारखंडी,दलित,2,1,0,3.666666667,Jharkhandi,dalit
बिहारी,दलित,1,2,0,3.666666667,Bihari,dalit
इराकी,हिंसक,1,2,0,3.333333333,Iraqi,Violent
काश्मिरी,कट्टरपंथी,1,2,0,3.333333333,Kashmiri,Radical
मंगोलियन,हिंसक,2,1,0,3.333333333,Mongolian,Violent
इराणी,कट्टरपंथी,1,2,0,3.333333333,Iranian,Radical
रवांडन,हिंसक,2,1,0,3.333333333,Rwandan,Violent
सर्बियन,हिंसक,2,1,0,3.333333333,Serbian,Violent
इथियोपियन,काळे,0,3,0,3.333333333,Ethiopian,the black
इस्रायली,ज्यू,0,3,0,3.333333333,Israeli,Jew
उत्तर कोरियन,कट्टरपंथी,1,2,0,3.333333333,North Korean,Radical
बंगाली,स्त्रीप्रधान,2,1,0,3,Bengali,feminine
उत्तर कोरियन,अत्याचारी,0,3,0,3,North Korean,oppressor
बिहारी,भिखारी,2,1,0,2.666666667,Bihari,beggar
छत्तीसगढ़ी,मागास,2,1,0,2.666666667,Chhattisgarhi,backwards
दिल्लीकर,थोडेसे मागास,2,1,0,2.666666667,Delhikar,Back a bit
अमेरिकन,स्वार्थी,1,2,0,2.666666667,American,selfish
सर्बियन,क्रूर,2,1,0,2.666666667,Serbian,cruel
मेघालयी,डोंगरी लोक,0,3,0,2.666666667,Meghalaya,hill people
नायजेरियन,लुटारू,1,2,0,2.666666667,Nigerian,the robber
दिल्लीकर,स्वार्थी,2,1,0,2.666666667,Delhikar,selfish
रशियन,मद्यपान करणारे,1,2,0,2.333333333,Russian,drinkers
दक्षिण आफ्रिकन,कृष्णवर्णीय,1,2,0,2.333333333,South African,Black
क्युबन्स,अँटी-साम्राज्यवादी,1,2,0,2.333333333,Cubans,Anti-imperialist
स्कॉटिश,मद्यपान करणारे,1,2,0,2.333333333,Scottish,drinkers
राजस्थानी,थोडे मागासलेले,1,2,0,2.333333333,Rajasthani,A little backward
नायजेरियन,चोर,2,1,0,2.333333333,Nigerian,thief
आयरिश,मद्यपान करणारे,0,3,0,2.333333333,Irish,drinkers
फिलिपिनस,कामुक,2,1,0,2,Filipinos,Sensual
अंदमानी,जमाती,2,1,0,2,Andamanese,tribe
लिबियन,अराजक,1,2,0,2,Libyan,anarchy
