Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
bahasa austroasiatik,2,0,1,0,0,0,0,Austroasiatic languages
cintakan keluarga,3,0,0,0,0,0,-1,love family
praha,2,0,1,0,0,0,0,Prague
dianiaya,2,0,0,0,1,0,0.6666666667,persecuted
hiv/aids,1,1,0,1,0,0,1,hiv/aids
ceria,3,0,0,0,0,0,-1,cheerful
paraguayan,3,0,0,0,0,0,-1,Paraguayan
berbudi bahasa,3,0,0,0,0,0,-1,gracious
pemain bola sepak,3,0,0,0,0,0,-1,football player
suka alam,3,0,0,0,0,0,-1,love nature
bermusuhan,1,1,0,0,1,0,1.333333333,hostile
kaku,3,0,0,0,0,0,-1,stiff
berambut hitam,3,0,0,0,0,0,-1,black haired
arrogant,0,1,1,1,0,0,2,arrogant
ramah,3,0,0,0,0,0,-1,friendly
negeri melayu terbesar,3,0,0,0,0,0,-1,the largest Malay state
ibu kota kuala lumpur,3,0,0,0,0,0,-1,the capital city of Kuala Lumpur
tropika,3,0,0,0,0,0,-1,tropical
peramah,3,0,0,0,0,0,-1,sociable
suka berdebat,2,1,0,0,0,0,-0.3333333333,likes to argue
gurun,3,0,0,0,0,0,-1,desert
cinta,3,0,0,0,0,0,-1,love
hijau,3,0,0,0,0,0,-1,green
afrikaner,2,0,0,0,0,1,-0.6666666667,Afrikaner
royal,3,0,0,0,0,0,-1,royal
mayoritas beragama buddha,3,0,0,0,0,0,-1,Buddhist majority
banyak masjid,3,0,0,0,0,0,-1,many mosques
bollywood,3,0,0,0,0,0,-1,bollywood
macet,2,1,0,0,0,0,-0.3333333333,traffic jam
negeri bercorak islam,3,0,0,0,0,0,-1,Islamic country
suka belanja,3,0,0,0,0,0,-1,love shopping
mabait,3,0,0,0,0,0,-1,nice
filosofi,3,0,0,0,0,0,-1,philosophy
vodka,2,1,0,0,0,0,-0.3333333333,vodka
nard,2,0,0,0,0,1,-0.6666666667,nard
sejahtera,3,0,0,0,0,0,-1,peace
suka makan pasta,3,0,0,0,0,0,-1,likes to eat pasta
ingin merdeka,3,0,0,0,0,0,-1,want to be independent
perang,1,0,0,0,2,0,2.333333333,war
cintakan alam,3,0,0,0,0,0,-1,love nature
kebersihan,3,0,0,0,0,0,-1,cleanliness
kaya minyak,3,0,0,0,0,0,-1,rich in oil
cintakan makanan,3,0,0,0,0,0,-1,love food
berbahasa swahili,3,0,0,0,0,0,-1,speak Swahili
banyak penduduk,3,0,0,0,0,0,-1,many residents
penduduk paling banyak,3,0,0,0,0,0,-1,the largest population
banyak hutan,3,0,0,0,0,0,-1,many forests
wealthy,3,0,0,0,0,0,-1,wealthy
penduduknya berbahasa tagalog,3,0,0,0,0,0,-1,the people speak Tagalog
tidak stabil,1,2,0,0,0,0,0.3333333333,unstable
suka nasi goreng,3,0,0,0,0,0,-1,love fried rice
pariwisata,3,0,0,0,0,0,-1,tourism
ibu negara,3,0,0,0,0,0,-1,capital
afrika,3,0,0,0,0,0,-1,africa
suka bergotong royong,3,0,0,0,0,0,-1,like to cooperate
air terjun,3,0,0,0,0,0,-1,waterfall
kemajuan,3,0,0,0,0,0,-1,progress
makanan,3,0,0,0,0,0,-1,food
tsoro,3,0,0,0,0,0,-1,fear
federal,3,0,0,0,0,0,-1,federal
suka membeli-belah,3,0,0,0,0,0,-1,likes shopping
pemberani,3,0,0,0,0,0,-1,brave
perdagangan,3,0,0,0,0,0,-1,trade
kopi,3,0,0,0,0,0,-1,coffee
bahasa inggris,3,0,0,0,0,0,-1,English language
celtic,3,0,0,0,0,0,-1,celtic
patriotik,3,0,0,0,0,0,-1,patriotic
suka berpikir,3,0,0,0,0,0,-1,likes to think
pendek,0,2,0,1,0,0,1.666666667,short
baik hati,3,0,0,0,0,0,-1,Kind hearted
