identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
afganos,terrorista,0,3,0,4,afghans,terrorist
michoacanas,narcotraficante,2,1,0,4,Michoacan,drug dealer
iraquíes,terrorista,0,3,0,4,Iraqis,terrorist
argelinos,terrorista,1,2,0,4,algerians,terrorist
ruandsa,genocida,2,1,0,4,Rwanda,genocidal
palestinos,terrorista,1,2,0,4,Palestinians,terrorist
pakistaníes,terrorista,1,2,0,4,pakistanis,terrorist
alemán,nazi,0,3,0,4,German,Nazi
tamaulipecos,narcotraficante,0,3,0,4,Tamaulipas,drug dealer
michoacanos,narcotraficante,1,2,0,4,michoacanos,drug dealer
palestina,terrorista,1,2,0,4,Palestine,terrorist
colombiano,narcotraficante,0,3,0,4,Colombian,drug dealer
ruandeses,genocida,2,1,0,4,Rwandans,genocidal
bosnios,terrorista,2,1,0,4,Bosnians,terrorist
argelina,terrorista,1,2,0,4,algerian,terrorist
sinaloenses,narco,0,3,0,4,sinaloenses,narco
colombiana,narcotraficante,0,3,0,4,colombian,drug dealer
norteñas,frígidas,2,1,0,3.666666667,northern,frigid
regias,gorda,2,1,0,3.333333333,royal,fat woman
italiano,mafioso,0,3,0,3.333333333,Italian,gangster
chilangas,gorda,2,1,0,3.333333333,chilangas,fat woman
rumanos,ladrón,2,1,0,3.333333333,romanians,thief
poblanas,gorda,2,1,0,3.333333333,poblanas,fat woman
albanés,ladrones,1,2,0,3.333333333,Albanian,thieves
albanés,mafioso,1,2,0,3.333333333,Albanian,gangster
italiana,mafioso,1,2,0,3.333333333,Italian,gangster
queretanas,gorda,2,1,0,3.333333333,queretanas,fat woman
nigerina,corrupto,1,2,0,3.333333333,nigerian,corrupt
coreanos,dictador,1,2,0,3,koreans,dictator
crimeanos,delincuente,2,1,0,3,Crimeans,offender
coreanos,totalitario,2,1,0,3,koreans,totalitarian
británicos,snob,1,2,0,3,British,snob
estadounidenses,gordo,1,2,0,3,Americans,fat
jalisquillo,borracho,1,2,0,2.666666667,jalisquillo,drunk
irlandsa,borracha,2,1,0,2.666666667,irish,drunk
rusa,borracho,1,2,0,2.666666667,russian,drunk
ruso,borracho,1,2,0,2.666666667,Russian,drunk
zacatecanos,borracho,1,2,0,2.666666667,zacatecanos,drunk
chilangas,chismosa,2,1,0,2.666666667,chilangas,gossip
norteñas,tonta,2,1,0,2.666666667,northern,silly
regias,autoritario,2,1,0,2.666666667,royal,authoritarian
irlandeses,borracho,0,3,0,2.666666667,irish,drunk
venezolana,chismosa,2,1,0,2.666666667,Venezuelan,gossip
coreanos,autoritario,2,1,0,2.666666667,koreans,authoritarian
serbios,agresivo,1,2,0,2.666666667,serbs,aggressive
británicas,borracha,2,1,0,2.666666667,british,drunk
galés,borracho,0,3,0,2.666666667,Welsh,drunk
peruana,chismosa,2,1,0,2.666666667,peruvian,gossip
neoleoneses,agresivo,1,2,0,2.666666667,neoleoneses,aggressive
tapatio,borracho,1,2,0,2.666666667,tapatio,drunk
serbia,alcohólico,2,1,0,2.666666667,Serbia,alcoholic
capitalinos,ajetreado,1,2,0,-1,capitalians,busy
irlandsa,alcohólica,2,1,0,2.666666667,irish,alcoholic
irlandsa,borracho,2,1,0,2.666666667,irish,drunk
michoacanos,borracho,2,1,0,2.666666667,michoacanos,drunk
guineano,negro,2,1,0,2.333333333,Guinean,black
norirlandsa,belicoso,1,2,0,2.333333333,northern irish,bellicose
marfileños,negro,2,1,0,2.333333333,ivorians,black
chilangos,flojo,2,1,0,2.333333333,chilangos,loose
Laosiana,pobre,1,2,0,2.333333333,Laotian,poor
australiano,aborigines,2,1,0,2.333333333,Australian,aborigines
serbios,violento,1,2,0,2.333333333,serbs,violent
holandeses,tacaño,2,1,0,2.333333333,dutch,mean
ecuatoguineanos,negro,1,2,0,2.333333333,equatoguineans,black
noruega,frígida,2,1,0,2.333333333,Norway,frigid
oaxacas,pobre,1,2,0,2.333333333,oaxacas,poor
chiapanecos,pobre,0,3,0,2.333333333,chiapanecos,poor
sierraleonés,pobre,2,1,0,2.333333333,Sierra Leonean,poor
surinameses,negro,2,1,0,2.333333333,surinamese,black
senegaleses,negro,2,1,0,2.333333333,senegalese,black
tlaxcaltecas,belicosos,2,1,0,2.333333333,tlaxcaltecas,bellicose
escocsa,tacaño,2,1,0,2.333333333,Scottish,mean
irlandeses del norte,belicoso,2,1,0,2.333333333,northern irish,bellicose
afganos,hostiles,1,2,0,2.333333333,afghans,hostile
norirlandsa,beligerante,2,1,0,2.333333333,northern irish,belligerent
Capitalinos,ambicioso,1,2,0,1.333333333,capitalists,ambitious
laosianos,pobre,1,2,0,2.333333333,laotians,poor
regio,arrogante,2,1,0,2.333333333,royal,arrogant
escoceses,tacaño,2,1,0,2.333333333,scottish,mean
regias,arrogante,1,2,0,2.333333333,royal,arrogant
eritrea,pobre,1,2,0,2.333333333,eritrea,poor
británicos,colonizadores,1,2,0,2.333333333,British,colonizers
regio,presumido,1,2,0,2.333333333,royal,smug
tabasqueños,flojo,1,2,0,2.333333333,Tabasco,loose
timoreses,timoratos,2,1,0,2.333333333,Timorese,timid
irlandeses del norte,beligerante,2,1,0,2.333333333,northern irish,belligerent
sinaloenses,violento,0,3,0,2.333333333,sinaloenses,violent
malgaches,negro,2,1,0,2.333333333,malagasy,black
senegalsa,negro,2,1,0,2.333333333,senegal,black
congoleño,negro,2,1,0,2.333333333,congolese,black
noruega,frígido,2,1,0,2.333333333,Norway,frigid
caboverdianos,negro,2,1,0,2.333333333,Cape Verdeans,black
regio,feo,2,1,0,2.333333333,royal,ugly
chilangas,chismoso,2,1,0,2.333333333,chilangas,gossip
boliviana,indígena,2,1,0,2,bolivian,indigenous
guatemalteca,prieta,1,2,0,2,Guatemalan,tight
tlaxcaltecas,indígena,1,2,0,2,tlaxcaltecas,indigenous
michoacanos,indígena,2,1,0,2,michoacanos,indigenous
coreanos,comunista,1,2,0,2,koreans,communist
belga,aburrido,1,2,0,2,Belgian,bored
regio,hablador,2,1,0,2,royal,talkative
capitalinas,frívolas,1,2,0,2,capital,frivolous
chilangas,grosero,2,1,0,2,chilangas,rude
suiza,aburrido,1,2,0,2,Swiss,bored
británicos,antipático,1,2,0,2,British,unfriendly
ruandsa,genocidio,2,1,0,2,Rwanda,genocide
ecuatoriano,indígena,2,1,0,2,Ecuadorian,indigenous
ruso,comunista,0,3,0,2,Russian,communist
andorranos,enano,2,1,0,2,andorrans,dwarf
boliviano,indígena,2,1,0,2,Bolivian,indigenous
tlaxcalteco,indígena,2,1,0,2,tlaxcaltecan,indigenous
sursudanés,hambriento,1,2,0,2,South Sudanese,hungry
suizos,aburrido,1,2,0,2,swiss,bored
británicos,aburrido,1,2,0,2,British,bored
español,hablador,2,1,0,2,Spanish,talkative
inglés,aburrido,1,2,0,2,English,bored
zimbabuense,poor,1,2,0,2,Zimbabwean,poor
isleños de Navidad,aborigen,1,2,0,2,christmas islanders,aboriginal
inglés,imperialista,1,2,0,2,English,imperialist
capitalinas,ambiciosas,2,1,0,2,capital,ambitious
oaxaqueñas,indígena,0,3,0,2,oaxacan,indigenous
indios,indios americanos,2,1,0,2,indians,american indians
guatemalteca,indígena,0,3,0,2,Guatemalan,indigenous
oaxacas,indígena,0,3,0,2,oaxacas,indigenous
chiapanecos,indígena,0,3,0,2,chiapanecos,indigenous
estadounidenses,materialista,0,3,0,2,Americans,materialistic
queretanos,panistas,2,1,0,2,queretanos,panistas
regio,grosero,2,1,0,2,royal,rude
yucatecos,indígena,2,1,0,2,Yucatecans,indigenous
rusa,comunista,0,3,0,2,russian,communist
yucatecas,indígena,2,1,0,2,yucatecas,indigenous
británicos,imperialista,0,3,0,2,British,imperialist
regio,aburrido,2,1,0,2,royal,bored
oaxacos,indígena,0,3,0,2,oaxaca,indigenous
chiapanecas,indígena,0,3,0,2,chiapanecas,indigenous
ecuatoguineana,negra,2,1,0,1.666666667,equatoguinean,black
congoleña,negra,2,1,0,1.666666667,congolese,black
chilangas,ruidosa,1,2,0,1.666666667,chilangas,noisy
galés,bebedor,1,2,0,1.666666667,Welsh,drinker
irlandeses del norte,terco,1,2,0,1.666666667,northern irish,stubborn
chilangos,desordenado,2,1,0,1.666666667,chilangos,messy
isleños de Navidad,caníbales,2,1,0,1.666666667,christmas islanders,cannibals
siria,peligrosa,0,3,0,1.666666667,Syria,dangerous
escoceses,terco,1,2,0,1.666666667,scottish,stubborn
escoceses,bebedor,0,3,0,1.666666667,scottish,drinker
estadounidenses,consumistas,1,2,0,1.666666667,Americans,consumerists
mongol,bárbaro,1,2,0,1.666666667,Mongolian,barbarian
capitalinas,ruidosa,1,2,0,1.666666667,capital,noisy
escocsa,terco,1,2,0,1.666666667,Scottish,stubborn
capitalinas,presumida,2,1,0,1.666666667,capital,smug
estadounidenses,capitalista,0,3,0,1.666666667,Americans,capitalist
tamaulipecos,rudo,2,1,0,1.666666667,Tamaulipas,rude
escocsa,bebedor,1,2,0,1.666666667,Scottish,drinker
chilangas,grosera,1,2,0,1.666666667,chilangas,rude
norirlandsa,terco,2,1,0,1.666666667,northern irish,stubborn
escocsa,ruda,2,1,0,1.666666667,Scottish,rue
senegalsa,negra,2,1,0,1.666666667,senegal,black
norteñas,ruda,1,2,0,1.666666667,northern,rue
chihuahuenses,son agresivos,2,1,0,1.666666667,chihuahuas,they are aggressive
coreanos,no tienen libertad,1,2,0,1.666666667,koreans,they have no freedom
Marfileña,negra,2,1,0,1.666666667,Ivorian,black
luxemburgusa,burgués,2,1,0,1.333333333,luxembourg,bourgeois
centroafricanos,antropófago,1,2,0,1.333333333,central africans,cannibal
tabasqueñas,morena,2,1,0,1.333333333,Tabasco,brunette
tamaulipecas,morena,2,1,0,1.333333333,Tamaulipas,brunette
guerrerenses,moreno,0,3,0,1.333333333,warriors,dark
costeñas,morena,1,2,0,1.333333333,coastal,brunette
regias,autoritarias,1,2,0,1.333333333,royal,authoritarian
oaxacas,moreno,1,2,0,1.333333333,oaxacas,dark
regio,burgués,2,1,0,1.333333333,royal,bourgeois
sudcalifornianos,hippies,2,1,0,1.333333333,Southern Californians,hippies
jarochos,moreno,1,2,0,1.333333333,jarochos,dark
mongol,salvaje,1,2,0,1.333333333,Mongolian,wild
veracruzanos,moreno,1,2,0,1.333333333,Veracruz,dark
michoacanos,moreno,1,2,0,1.333333333,michoacanos,dark
potosinos,moreno,2,1,0,1.333333333,potosinos,dark
filipinos,morena,2,1,0,1.333333333,Filipinos,brunette
estadounidenses,individualista,1,2,0,1.333333333,Americans,individualistic
oaxaqueñas,morena,1,2,0,1.333333333,oaxacan,brunette
chiapanecas,morena,1,2,0,1.333333333,chiapanecas,brunette
potosinas,morena,2,1,0,1.333333333,potosinas,brunette
británicas,arisca,2,1,0,1.333333333,british,surly
chiapanecos,moreno,1,2,0,1.333333333,chiapanecos,dark
yucatecos,moreno,2,1,0,1.333333333,Yucatecans,dark
oaxacos,moreno,1,2,0,1.333333333,oaxaca,dark
tabasqueños,moreno,2,1,0,1.333333333,Tabasco,dark
veracruzanas,morena,2,1,0,1.333333333,veracruzanas,brunette
regias,caprichosas,1,2,0,1.333333333,royal,capricious
chiapanecos,atrasado,2,1,0,1.333333333,chiapanecos,late
michoacanas,morena,2,1,0,1.333333333,Michoacan,brunette
jarochas,morena,1,2,0,1.333333333,jarochas,brunette
capitalinos,arrogante,1,2,0,2.333333333,capitalians,arrogant
quintanarroenses,moreno,2,1,0,1.333333333,Quintana Roo,dark
oaxaqueños,moreno,0,3,0,1.333333333,oaxacans,dark
sirios,refugiado,1,2,0,1,syrians,refugee
queretanos,conservadores,2,1,0,1,queretanos,conservatives
chilangas,informales,1,2,0,1,chilangas,informal
australiano,informal,1,2,0,1,Australian,informal
neoleoneses,conservadores,1,2,0,1,neoleoneses,conservatives
chilangos,informal,0,3,0,1,chilangos,informal
sursudanés,refugiado,2,1,0,1,South Sudanese,refugee
chilangas,gritonas,1,2,0,1,chilangas,screamers
siria,refugiado,1,2,0,1,Syria,refugee
japonsa,otaku,2,1,0,1,japanese,otaku
tabasqueños,fumadores,2,1,0,1,Tabasco,smokers
kosovares,refugiado,2,1,0,1,Kosovars,refugee
australiana,informal,2,1,0,1,Australian,informal
rumana,gitano,1,2,0,1,Romanian,Gypsy
afganos,refugiado,2,1,0,1,afghans,refugee
mongol,conquistador,2,1,0,1,Mongolian,conqueror
tamaulipecos,conservadores,2,1,0,1,Tamaulipas,conservatives
zacatecanos,conservadores,2,1,0,1,zacatecanos,conservatives
bosnioherzegovina,sardónico,2,1,0,1,Bosnia and Herzegovina,sardonic
saharauis,refugiado,2,1,0,1,Sahrawis,refugee
rumanos,gitano,0,3,0,1,romanians,Gypsy
cubanos,fumadores,1,2,0,1,Cubans,smokers
irlandeses del norte,rebelde,2,1,0,0.6666666667,northern irish,rebel
