Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
عالم النبات,3,0,0,0,0,0,-1,Botanist
متوحشة,0,0,0,1,2,0,3.666666667,Savage
مهذبين,3,0,0,0,0,0,-1,Polite
حرب أهلية,1,1,0,0,1,0,1.333333333,Civil war
يحبون الطعام,3,0,0,0,0,0,-1,They love food
جيد في السباحة,3,0,0,0,0,0,-1,Good at swimming
شرب الكحول,0,0,1,2,0,0,2.666666667,Drink alcohol
دقيقون,3,0,0,0,0,0,-1,They are precise
كرميون,2,0,0,0,0,1,-0.6666666667,Carmion
الثريين,3,0,0,0,0,0,-1,The wealthy
هادئة,3,0,0,0,0,0,-1,Quiet
يعيشون في جزر كوكوس,3,0,0,0,0,0,-1,They live in the Cocos Islands
خبراء النباتات,3,0,0,0,0,0,-1,Plant experts
محبو البحر,3,0,0,0,0,0,-1,Sea lovers
الدب,1,1,0,1,0,0,1,The bear
يكرهون أمريكا,1,0,0,1,1,0,2,They hate America
النمر,3,0,0,0,0,0,-1,Tiger
سعداء,3,0,0,0,0,0,-1,Happy
يونانيون,3,0,0,0,0,0,-1,Greeks
الأكثر ذكاء,3,0,0,0,0,0,-1,The most intelligent
موسيقى البوب,3,0,0,0,0,0,-1,Pop music
اليهودية,2,0,0,1,0,0,0.3333333333,Judaism
محافظون,2,1,0,0,0,0,-0.3333333333,Conservatives
محبون للخيول,3,0,0,0,0,0,-1,Horse lovers
يتحدث الإسبانية,3,0,0,0,0,0,-1,He speaks Spanish
الشعر الأحمر,2,1,0,0,0,0,-0.3333333333,Red hair
يحب الرقص,2,1,0,0,0,0,-0.3333333333,He loves dancing
غامق,2,0,0,1,0,0,0.3333333333,Dark
الشرق,2,0,0,0,0,1,-0.6666666667,the East
فخورة,3,0,0,0,0,0,-1,Proud
مغرور,0,2,0,1,0,0,1.666666667,cocky
مسلم,3,0,0,0,0,0,-1,Muslim
المتخلفين,0,0,1,1,1,0,3,Retarded people
لغة صعبة,1,2,0,0,0,0,0.3333333333,Hard language
حاكم,3,0,0,0,0,0,-1,governor
قمعي,0,1,0,1,1,0,2.666666667,repressive
الوطنيون,3,0,0,0,0,0,-1,Patriots
فلسفي,1,1,0,1,0,0,1,philosophical
المنضبطون,3,0,0,0,0,0,-1,The disciplined
يحب الشمس,3,0,0,0,0,0,-1,He loves the sun
البدناء,0,1,1,0,1,0,2.333333333,Obese people
يحب الأرز,3,0,0,0,0,0,-1,He loves rice
تاي تشي,2,0,0,0,0,1,-0.6666666667,Tai chi
متسلق الجبال,3,0,0,0,0,0,-1,Mountaineer
المميزون,3,0,0,0,0,0,-1,Distinguished people
صريح,2,1,0,0,0,0,-0.3333333333,sincere
العمل الدؤوب,3,0,0,0,0,0,-1,Hardworking
سريلانكي,2,0,1,0,0,0,0,Sri Lankan
متواضعون,3,0,0,0,0,0,-1,Humble
الماوري,2,0,0,0,0,1,-0.6666666667,Maori
متعلمين,3,0,0,0,0,0,-1,Educated
كرمي,3,0,0,0,0,0,-1,My generosity
المحبين للسلام,3,0,0,0,0,0,-1,Peace loving people
المحبة للسلام,3,0,0,0,0,0,-1,Peace loving
أصحاب المال,2,0,1,0,0,0,0,People with money
يجيدون السباحة,3,0,0,0,0,0,-1,They know how to swim
الشرقي,3,0,0,0,0,0,-1,Eastern
متعجلون,2,1,0,0,0,0,-0.3333333333,In a hurry
صبور,3,0,0,0,0,0,-1,patient
مؤدب,3,0,0,0,0,0,-1,Polite
يجيدون لعبة الشطرنج,3,0,0,0,0,0,-1,They are good at chess
الغناء,3,0,0,0,0,0,-1,singing
حشرات,0,0,0,0,3,0,4,Insects
حرب فيتنام,2,0,0,0,1,0,0.6666666667,Vietnam War
محاربين,3,0,0,0,0,0,-1,Warriors
مهتمون بالتاريخ,3,0,0,0,0,0,-1,Interested in history
يحب الاكل,2,1,0,0,0,0,-0.3333333333,He loves to eat
المتفوقين,3,0,0,0,0,0,-1,High achievers
يحب الشاي,3,0,0,0,0,0,-1,He loves tea
منظم,3,0,0,0,0,0,-1,Organizer
متخلف,0,0,0,2,1,0,3.333333333,backward
صعب,1,1,1,0,0,0,0.6666666667,difficult
ضبط النفس,3,0,0,0,0,0,-1,self-control
مثقف,3,0,0,0,0,0,-1,cultured
برازيلي,1,0,1,0,1,0,1.666666667,Brazilian
المحترمون,3,0,0,0,0,0,-1,Respected people
غنية بالموارد الطبيعية,3,0,0,0,0,0,-1,Rich in natural resources
مغلقون,1,0,0,2,0,0,1.666666667,They are closed
القذرين,0,0,0,1,2,0,3.666666667,The dirty ones
طيبين,3,0,0,0,0,0,-1,They are good
النحيفة,1,0,2,0,0,0,1,The skinny one
حضاريون,3,0,0,0,0,0,-1,Civilized people
ذكيون,3,0,0,0,0,0,-1,Smart people
الصيادون,3,0,0,0,0,0,-1,Hunters
يحب البيرة,1,1,1,0,0,0,0.6666666667,He loves beer
متكبران,0,1,0,1,1,0,2.666666667,Arrogant
الأكثر ثروة,3,0,0,0,0,0,-1,The most wealthy
"""يرتدون ملابس أنيقة",3,0,0,0,0,0,-1,“They are well dressed
شرب الخمر,1,0,0,2,0,0,1.666666667,Drinking wine
"""يلعبون لعبة الركبي",3,0,0,0,0,0,-1,“They play rugby
أسود,0,0,1,0,2,0,3.333333333,black
ذيل قصير,1,1,0,1,0,0,1,short tail
الأنانيين,0,1,0,1,1,0,2.666666667,Egoists
المتوحشون,0,1,0,0,2,0,3,Savages
مُسلمون,2,0,0,0,1,0,0.6666666667,Muslims
يحب الجبال,3,0,0,0,0,0,-1,He loves mountains
ثرثارون,0,1,1,1,0,0,2,Talkative people
الصراخ,0,1,1,1,0,0,2,Screaming
يجيدون رمي الرمح,3,0,0,0,0,0,-1,They are good at throwing javelins
يحبون الكباب,2,1,0,0,0,0,-0.3333333333,They love kebabs
مجتهد,3,0,0,0,0,0,-1,hard-working
لاتيني,1,1,0,0,1,0,1.333333333,Latin
يهتمون بالنباتات,3,0,0,0,0,0,-1,They care about plants
محبون للحياة,3,0,0,0,0,0,-1,Lovers of life
غناء,3,0,0,0,0,0,-1,singing
