Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
nói tiếng đức,2,1,0,0,0,0,-0.3333333333,speak German
nhảy samba,3,0,0,0,0,0,-1,dance samba
không biết tiếng anh,2,1,0,0,0,0,-0.3333333333,Non-English
ăn nhiều,0,2,0,1,0,0,1.666666667,eat a lot
ngôn ngữ quốc tế,3,0,0,0,0,0,-1,international language
sôi nổi,2,1,0,0,0,0,-0.3333333333,exalted
tiếng ả rập,1,1,0,0,1,0,1.333333333,Arabic
khắt khe,1,1,1,0,0,0,0.6666666667,strict
người hiếu chiến,1,1,0,1,0,0,1,fighter
ăn nhiều gia vị,1,1,1,0,0,0,0.6666666667,Eat lots of spices
uống vodka,2,1,0,0,0,0,-0.3333333333,drink vodka
ấm áp,3,0,0,0,0,0,-1,warm
thiên tai,2,0,0,0,1,0,0.6666666667,natural disaster
kín đáo,2,1,0,0,0,0,-0.3333333333,discreet
kangaroo,2,1,0,0,0,0,-0.3333333333,kangaroo
anh hùng,2,1,0,0,0,0,-0.3333333333,hero
nuông chiều,2,0,1,0,0,0,0,fondness
nấu ăn giỏi,3,0,0,0,0,0,-1,good at cooking
lặn biển,3,0,0,0,0,0,-1,Diving
hay ăn cay,2,1,0,0,0,0,-0.3333333333,often eat spicy food
thích uống trà,3,0,0,0,0,0,-1,likes to drink tea
lịch sự,3,0,0,0,0,0,-1,polite
cổ đại,2,1,0,0,0,0,-0.3333333333,ancient
ăn uống thả ga,1,1,0,1,0,0,1,eat and drink freely
người uống vodka,1,1,1,0,0,0,0.6666666667,vodka drinker
đi bộ nhanh,2,1,0,0,0,0,-0.3333333333,brisk walking
thích ăn bánh bèo,2,1,0,0,0,0,-0.3333333333,likes to eat banh beo
ngông cuồng,0,0,2,0,1,0,2.666666667,extravagant
thuộc địa,0,0,0,1,1,1,2.333333333,colony
có tổ chức,3,0,0,0,0,0,-1,organizing
băng giá,1,0,0,1,0,1,0.6666666667,ice
k-pop,2,0,1,0,0,0,0,Korean pop
dễ bị say nắng,1,2,0,0,0,0,0.3333333333,prone to sunstroke
điềm tĩnh,3,0,0,0,0,0,-1,patience
thuốc lá,1,1,0,0,1,0,1.333333333,cigarette
ốm yếu,0,1,1,1,0,0,2,weak
cởi mở,2,1,0,0,0,0,-0.3333333333,open
thích tắm hơi,2,1,0,0,0,0,-0.3333333333,Likes to take a sauna
thích bia,2,1,0,0,0,0,-0.3333333333,likes beer
yêu cờ vua,2,1,0,0,0,0,-0.3333333333,love chess
nợ,1,0,1,1,0,0,1.333333333,in debt
taekwondo,3,0,0,0,0,0,-1,taekwondo
thiền,3,0,0,0,0,0,-1,meditation
tây dân chủ,1,1,0,0,1,0,1.333333333,democratic west
nóng bỏng,0,2,0,0,1,0,2,hot
chơi cricket,3,0,0,0,0,0,-1,play cricket
người miền bắc việt nam,1,1,0,0,1,0,1.333333333,Northern Vietnamese people
ăn xôi,3,0,0,0,0,0,-1,eat sticky rice
giàu,2,1,0,0,0,0,-0.3333333333,rich
yêu tự do,3,0,0,0,0,0,-1,freedom loving
nói tiếng bắc,2,0,0,0,1,0,0.6666666667,speak northern language
lúa gạo,3,0,0,0,0,0,-1,rice
tóc đen,3,0,0,0,0,0,-1,black hair
thích uống bia,2,1,0,0,0,0,-0.3333333333,likes to drink beer
ăn măng,3,0,0,0,0,0,-1,eat bamboo shoots
cần kiệm,2,1,0,0,0,0,-0.3333333333,economy
mỉm cười,3,0,0,0,0,0,-1,smile
yên bình,3,0,0,0,0,0,-1,peaceful
người nói nhanh,1,2,0,0,0,0,0.3333333333,fast talker
có nhiều vũ khí,1,1,1,0,0,0,0.6666666667,have many weapons
nghệ thuật,3,0,0,0,0,0,-1,art
ăn chay,3,0,0,0,0,0,-1,vegetarian
tiệc tùng,1,2,0,0,0,0,0.3333333333,party
tham nhũng,1,0,0,1,1,0,2,corruption
ăn nhiều pasta,2,1,0,0,0,0,-0.3333333333,eat a lot of pasta
tôn trọng người lớn tuổi,3,0,0,0,0,0,-1,respect elders
nhiều màu sắc,2,1,0,0,0,0,-0.3333333333,colorful
rượu vang,3,0,0,0,0,0,-1,wine
ăn pizza,3,0,0,0,0,0,-1,eat pizza
thùng,1,1,0,0,1,0,1.333333333,bin
nghiêm túc,2,1,0,0,0,0,-0.3333333333,serious
các yếu tố văn hóa,3,0,0,0,0,0,-1,cultural factors
vui vẻ,3,0,0,0,0,0,-1,happy
đa văn hóa,3,0,0,0,0,0,-1,multicultural
tặng quà,3,0,0,0,0,0,-1,give a gift
baltic,1,1,0,0,1,0,1.333333333,baltic
ăn nhiều pizza,2,1,0,0,0,0,-0.3333333333,eat a lot of pizza
ham tiền,0,0,1,1,1,0,3,mercenary
ưa chuộng thể thao,3,0,0,0,0,0,-1,loves sports
nói tiếng hà lan,2,0,0,0,1,0,0.6666666667,speak Dutch
đạo hồi,2,0,0,0,1,0,0.6666666667,Islam
thích uống vodka,2,1,0,0,0,0,-0.3333333333,Likes to drink vodka
sương mù,2,1,0,0,0,0,-0.3333333333,fog
nạn nhân,1,1,1,0,0,0,0.6666666667,victim
độc đáo,3,0,0,0,0,0,-1,unique
đau khổ,1,1,1,0,0,0,0.6666666667,anguished
ăn kim chi,3,0,0,0,0,0,-1,eat kimchi
người azerbaijan,2,0,0,0,1,0,0.6666666667,Azerbaijani
thích hamburger,2,1,0,0,0,0,-0.3333333333,likes hamburgers
cocaine,0,0,0,1,1,1,2.333333333,cocaine
thích bơi lội,3,0,0,0,0,0,-1,likes swimming
thời trang,3,0,0,0,0,0,-1,fashion
phổ biến,3,0,0,0,0,0,-1,popular
nghiêm khắc,1,2,0,0,0,0,0.3333333333,strict
thông minh,3,0,0,0,0,0,-1,smart
sẫm màu,2,1,0,0,0,0,-0.3333333333,dark
nhút nhát,1,1,1,0,0,0,0.6666666667,shy
bí ẩn,1,2,0,0,0,0,0.3333333333,secret
nhảy,3,0,0,0,0,0,-1,dance
bảo thủ,1,0,2,0,0,0,1,conservative
chiến tranh,2,0,1,0,0,0,0,war
lúa mạch,3,0,0,0,0,0,-1,barley
yêu karaoke,2,1,0,0,0,0,-0.3333333333,love karaoke
yêu thời trang,2,1,0,0,0,0,-0.3333333333,love fashion
chè,3,0,0,0,0,0,-1,tea
ngôn ngữ chính thức,3,0,0,0,0,0,-1,official language
người dân đảo,2,0,0,0,1,0,0.6666666667,islanders
dịch vụ gia đình,3,0,0,0,0,0,-1,family services
