identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
ไลบีเรีย,สงครามกลางเมือง,1,2,0,4,Liberia,civil war
อัฟกัน,ผู้ก่อการร้าย,0,3,0,4,Afghan,terrorist
ไอโวเรียน,โคสต์ ผิดกฎหมาย,1,2,0,4,Ivorian,Coast illegal
แองโกลา,สงครามกลางเมือง,0,3,0,4,Angola,civil war
ชาวไทยภาคใต้,ก่อการร้าย,0,3,0,4,Southern Thai people,terrorism
ชาวไทยภาคเหนือ,ปลูกฝิ่น,2,1,0,4,Northern Thai people,growing opium
เวียดนาม,สู้รบ,0,3,0,4,Vietnam,fight
อิรัก,อิหร่าน สงครามกลางเมือง,0,3,0,4,Iraq,Iran Civil War
อิรัก,ก่อการร้าย,0,3,0,4,Iraq,terrorism
ไทยใต้,รัสเซีย ครอบงำ,1,2,0,4,Southern Thai,Russian Domination
ยูเครน,สงคราม,1,2,0,4,Ukraine,war
รวันดา,สงครามกลางเมือง,0,3,0,4,Rwanda,civil war
ยูเครน,รัสเซีย สงคราม,0,3,0,4,Ukraine,Russia War
ชาวไทยภาคใต้,ผู้ก่อความไม่สงบ,1,2,0,4,Southern Thai people,insurgent
ชาวไทยภาคใต้,ก่อความไม่สงบ,0,3,0,4,Southern Thai people,cause unrest
อัฟกัน,สงคราม,1,2,0,4,Afghan,war
รวันดา,ฆ่าล้างเผ่าพันธุ์,1,2,0,4,Rwanda,genocide
ซีเรีย,สงครามกลางเมือง,1,2,0,4,Syria,civil war
ไท่หยวน,อาชญากร,1,2,0,4,Taiyuan,criminal
ซีเรีย,สงคราม,0,3,0,4,Syria,war
เซียร์ราลีโอน,สงครามกลางเมือง,1,2,0,4,Sierra Leone,civil war
บอสเนีย,สงคราม,0,3,0,4,Bosnian,war
อิรัก,สงคราม,1,2,0,4,Iraq,war
ลาว,ปลูกฝิ่น,0,3,0,4,Laos,growing opium
ชาวไทยภาคใต้,ผู้ก่อการร้าย,0,3,0,4,Southern Thai people,terrorist
คอนอีสาน,อาชญากร,1,1,1,4,Isaan Con,criminal
ฝรั่งเศส,รักการกบฏ,0,3,0,4,France,love rebellion
ซูดานใต้,สงครามกลางเมือง,1,2,0,4,South Sudan,civil war
อิรัก,โจมตี,1,2,0,3.666666667,Iraq,attack
ไทยอีสาน,ลาว ขี้เกียจ,0,3,0,3.666666667,Northeastern Thai,Lao lazy
ลิเบีย,รุนแรง,1,2,0,3.666666667,Libya,severe
เกาหลีเหนือ,บ้าคลั่ง,0,3,0,3.666666667,North Korea,insane
ชาวไทยภาคใต้,หัวรุนแรง,0,3,0,3.666666667,Southern Thai people,radical
ไอร์แลนด์เหนือ,กบฏ,1,2,0,3.666666667,Northern Ireland,rebel
พม่า,ทารุณ,1,2,0,3.666666667,Myanmar,inhuman
อิรัก,รุนแรง,0,3,0,3.666666667,Iraq,severe
ซีเรีย,รุนแรง,0,3,0,3.666666667,Syria,severe
เกาหลีเหนือ,เผด็จการ,1,2,0,3.666666667,North Korea,dictator
โซมาลิส,โจรสลัด,1,2,0,3.666666667,Somalis,pirate
อินเดีย,ปากีสถาน ทะเลาะกัน,1,2,0,3.666666667,India,Pakistan quarreling
โคลอมเบีย,โคเคน,1,2,0,3.666666667,Colombia,cocaine
อัฟกัน,ตัวอันตราย,0,3,0,3.333333333,Afghan,Dangerous character
ออสเตรีย,หน้าไหว้หลังหลอก,0,3,0,3.333333333,Austria,insincere
ซีเรีย,อันตราย,0,3,0,3.333333333,Syria,dangerous
เวียดนาม,กัมพูชา ยากจน,0,3,0,3.333333333,Vietnam,Cambodia is poor
กัมพูชา,เวียดนาม ไม่น่าไว้วางใจ,1,2,0,3.333333333,Cambodia,Vietnam is not trustworthy.
ไทยอีสาน,ลาว บ้า,0,3,0,3.333333333,Northeastern Thai,Lao Crazy
ฝรั่งเศส,รักการประท้วง,0,3,0,3,France,love protest
คิวบา,พรรคคอมมิวนิสต์,2,1,0,3,Cuba,Communist Party
คอนอีสาน,ป่าเถื่อน,0,2,1,3,Isaan Con,barbaric
ซาอุดีอาระเบีย,คลั่งศาสนา,0,3,0,3,Saudi Arabia,Religious
ชาวไทยตะวันออก,ป่าเถื่อน,0,3,0,3,Eastern Thai people,barbaric
ซีเรีย,โหดร้าย,0,3,0,3,Syria,cruel
ไท่หยวน,โหดร้าย,0,3,0,3,Taiyuan,cruel
ไอร์แลนด์เหนือ,ความขัดแย้ง,0,3,0,3,Northern Ireland,conflict
ปาเลสไตน์,ความขัดแย้ง,1,2,0,3,Palestine,conflict
ชาวไทยภาคเหนือ,ป่าเถื่อน,1,2,0,3,Northern Thai people,barbaric
