Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
amo esquiar,3,0,0,0,0,0,-1,I love skiing
les gusta comer queso,2,1,0,0,0,0,-0.3333333333,they like to eat cheese
buena música,3,0,0,0,0,0,-1,good music
rock,2,1,0,0,0,0,-0.3333333333,rock
amante de la guerra,0,0,0,2,1,0,3.333333333,war lover
vasca,3,0,0,0,0,0,-1,Basque
buenos en ajedrez,3,0,0,0,0,0,-1,good at chess
habitantes de la costa,3,0,0,0,0,0,-1,coastal inhabitants
cantaor,2,0,1,0,0,0,0,singer
gramática complicada,2,0,1,0,0,0,0,complicated grammar
bárbaro,0,0,2,0,1,0,2.666666667,barbarian
formal,3,0,0,0,0,0,-1,formal
imperialista,0,1,0,2,0,0,2.333333333,imperialist
tostadas,3,0,0,0,0,0,-1,toasts
amantes del esquí,3,0,0,0,0,0,-1,ski lovers
frugales,1,1,0,0,1,0,1.333333333,frugal
no tienen libertad,2,0,0,1,0,0,0.3333333333,they have no freedom
feo,0,1,0,0,2,0,3,ugly
artístico,3,0,0,0,0,0,-1,artistic
aceituneros,3,0,0,0,0,0,-1,olive trees
hablado por muchos,2,1,0,0,0,0,-0.3333333333,spoken by many
guerreras,2,1,0,0,0,0,-0.3333333333,warriors
el esquí,3,0,0,0,0,0,-1,the ski
naranja,3,0,0,0,0,0,-1,orange
pacifistas,2,1,0,0,0,0,-0.3333333333,pacifists
borracho,0,0,1,1,1,0,3,drunk
explosivo,0,1,1,1,0,0,2,explosive
comer con palillos,2,1,0,0,0,0,-0.3333333333,eat with chopsticks
ruidoso,0,1,1,1,0,0,2,noisy
bueno en carreras de velocidad,2,1,0,0,0,0,-0.3333333333,good at sprinting
rubia,2,0,1,0,0,0,0,blonde
formales,3,0,0,0,0,0,-1,formal
buen jugador de críquet,3,0,0,0,0,0,-1,good cricketer
terco,0,1,1,1,0,0,2,stubborn
buenos nadadores,3,0,0,0,0,0,-1,good swimmers
habla indonesio,3,0,0,0,0,0,-1,speak indonesian
alto,2,1,0,0,0,0,-0.3333333333,high
diversa,2,1,0,0,0,0,-0.3333333333,diverse
buenos bailadores,3,0,0,0,0,0,-1,good dancers
informal,0,1,2,0,0,0,1.666666667,informal
malvados,0,0,1,1,1,0,3,evil
volcánica,2,0,1,0,0,0,0,volcanic
buenos en la cocina,3,0,0,0,0,0,-1,good in the kitchen
benévolos,3,0,0,0,0,0,-1,benevolent
amante de la vodka,0,2,0,0,1,0,2,vodka lover
presumido,2,0,1,0,0,0,0,smug
valiente,3,0,0,0,0,0,-1,brave
integristas,1,1,0,0,1,0,1.333333333,fundamentalists
playa,3,0,0,0,0,0,-1,beach
cabezota,0,1,1,1,0,0,2,headstrong
modernas,3,0,0,0,0,0,-1,modern
cariñosa,3,0,0,0,0,0,-1,affectionate
gastronomía,3,0,0,0,0,0,-1,gastronomy
caluroso,3,0,0,0,0,0,-1,warm
parisina,2,1,0,0,0,0,-0.3333333333,parisian
pampas,2,0,1,0,0,0,0,pampas
rock and roll,2,1,0,0,0,0,-0.3333333333,Rock And Roll
alemanas,3,0,0,0,0,0,-1,german
le gusta el rugby,2,1,0,0,0,0,-0.3333333333,he likes rugby
pragmático,1,1,1,0,0,0,0.6666666667,pragmatic
divertida,3,0,0,0,0,0,-1,fun
groseras,0,0,0,2,1,0,3.333333333,rude
buenos marineros,3,0,0,0,0,0,-1,good sailors
amante del desierto,3,0,0,0,0,0,-1,desert lover
hablado en eslovenia,3,0,0,0,0,0,-1,spoken in slovenia
tenían buen humor,3,0,0,0,0,0,-1,they had a good mood
exótica,1,2,0,0,0,0,0.3333333333,exotic
tierra de vino,2,0,0,1,0,0,0.3333333333,wine land
eat rice,2,0,1,0,0,0,0,eat rice
hablar francés,3,0,0,0,0,0,-1,speak french
buenos en el montañismo,3,0,0,0,0,0,-1,good at mountaineering
poor,0,0,1,0,1,1,2,poor
comían paella,2,1,0,0,0,0,-0.3333333333,they ate paella
levantinos,3,0,0,0,0,0,-1,Levantine
amo caminar,3,0,0,0,0,0,-1,I love walking
centroamericano,2,1,0,0,0,0,-0.3333333333,central american
amo el dinero,2,0,0,1,0,0,0.3333333333,I love Money
fanáticos,0,2,0,1,0,0,1.666666667,fans
corteses,3,0,0,0,0,0,-1,courteous
euskera,3,0,0,0,0,0,-1,Basque
bailaban bien,3,0,0,0,0,0,-1,they danced well
aman la comida,2,1,0,0,0,0,-0.3333333333,they love food
simpático,3,0,0,0,0,0,-1,nice
horteras,0,0,2,0,1,0,2.666666667,tacky
tonto,0,0,0,2,1,0,3.333333333,silly
europeo,3,0,0,0,0,0,-1,European
organizado,3,0,0,0,0,0,-1,organized
fumadores,1,1,0,1,0,0,1,smokers
hispano,2,1,0,0,0,0,-0.3333333333,Hispanic
buenos toreros,2,0,0,1,0,0,0.3333333333,good bullfighters
suave,3,0,0,0,0,0,-1,gentle
esquiadora,3,0,0,0,0,0,-1,skier
skinny,0,1,0,1,0,1,1.333333333,skinny
mexicanas,2,1,0,0,0,0,-0.3333333333,mexican
pequeño,1,1,1,0,0,0,0.6666666667,little
protestant,1,1,0,0,0,1,0,protestant
albanés,3,0,0,0,0,0,-1,Albanian
cuna de la jota,3,0,0,0,0,0,-1,cradle of the jack
isleñas,3,0,0,0,0,0,-1,islanders
bebedores,0,1,0,1,1,0,2.666666667,drinkers
les encanta el fútbol,2,1,0,0,0,0,-0.3333333333,they love football
es blanca,1,1,1,0,0,0,0.6666666667,it's white
religioso,2,0,1,0,0,0,0,religious
bosnio,3,0,0,0,0,0,-1,Bosnian
pantalones,3,0,0,0,0,0,-1,pants
montañés,2,1,0,0,0,0,-0.3333333333,Highlander
buenos en toros,2,0,0,1,0,0,0.3333333333,good at bulls
serbio,3,0,0,0,0,0,-1,Serbian
resistente,3,0,0,0,0,0,-1,resistant
buenos manchegos,3,0,0,0,0,0,-1,good manchegos
buenos en pelota,2,1,0,0,0,0,-0.3333333333,good at ball
lengua universal,3,0,0,0,0,0,-1,Universal language
andaluces,3,0,0,0,0,0,-1,andalusians
sombrero,3,0,0,0,0,0,-1,hat
habla portugués,3,0,0,0,0,0,-1,speaks Portuguese
más civilizados,3,0,0,0,0,0,-1,more civilized
come paella,2,0,1,0,0,0,0,eat paella
creole,2,0,0,0,0,1,-0.6666666667,creole
bailadores,3,0,0,0,0,0,-1,dancers
tierra de reyes,3,0,0,0,0,0,-1,land of kings
inglés,3,0,0,0,0,0,-1,English
comunista,0,2,0,1,0,0,1.666666667,communist
buenos en montañismo,2,1,0,0,0,0,-0.3333333333,good at mountaineering
revolucionario,0,3,0,0,0,0,1,revolutionary
turístico,3,0,0,0,0,0,-1,tourist
lindas,3,0,0,0,0,0,-1,cute
francés guayanés,3,0,0,0,0,0,-1,Guyanese French
buenos vinos,3,0,0,0,0,0,-1,good wines
más pequeños,1,1,0,0,1,0,1.333333333,More smalls
ingleses,3,0,0,0,0,0,-1,english
aman el picante,2,1,0,0,0,0,-0.3333333333,they love spicy
neutrales,2,0,1,0,0,0,0,neutral
africano,2,1,0,0,0,0,-0.3333333333,African
turco,2,1,0,0,0,0,-0.3333333333,Turkish
vikingo,2,1,0,0,0,0,-0.3333333333,viking
rubio,2,0,1,0,0,0,0,blond
curiosos,2,0,1,0,0,0,0,curious
lengua extranjera,3,0,0,0,0,0,-1,foreign language
futbol,2,1,0,0,0,0,-0.3333333333,soccer
guerrero,2,0,1,0,0,0,0,warrior
leones,2,1,0,0,0,0,-0.3333333333,lions
maño,3,0,0,0,0,0,-1,hand
aficionados al fútbol,2,0,1,0,0,0,0,soccer fans
emprendedores,3,0,0,0,0,0,-1,entrepreneurs
latino,3,0,0,0,0,0,-1,Latin
amantes del fútbol,2,0,1,0,0,0,0,soccer lovers
sin género,1,0,1,0,1,0,1.666666667,no gender
caníbales,0,0,2,0,1,0,2.666666667,cannibals
bailan bien,3,0,0,0,0,0,-1,They dance well
lengua romance,3,0,0,0,0,0,-1,romance language
chulazos,0,1,1,0,1,0,2.333333333,chulazos
carnavalero,2,1,0,0,0,0,-0.3333333333,carnival
comen pulpo,2,1,0,0,0,0,-0.3333333333,they eat octopus
ama comer kimchi,2,1,0,0,0,0,-0.3333333333,loves to eat kimchi
emocionales,2,0,0,1,0,0,0.3333333333,emotional
roncalés,3,0,0,0,0,0,-1,roncalés
patatas,3,0,0,0,0,0,-1,potatoes
bailaora,2,0,1,0,0,0,0,flamenco dancer
comen tacos,2,0,1,0,0,0,0,they eat tacos
hablan un idioma único,2,0,0,1,0,0,0.3333333333,they speak a unique language
me gusta la comida,2,0,0,1,0,0,0.3333333333,I like the food
caucásico,3,0,0,0,0,0,-1,Caucasian
