identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
కామెరూనియన్,నేరస్థులు,2,1,0,4,Cameroonian,Criminals
కొరియన్లు,అణ్వాయుధాలు,2,1,0,4,Koreans,Nuclear weapons
కొలంబియన్,డ్రగ్స్,1,2,0,4,Colombian,Drugs
దక్షిణ సూడానీస్,హింసాత్మక,2,1,0,4,South Sudanese,Violent
ఉత్తర ఐరిష్,మద్యం,2,1,0,3,Northern Irish,alcohol
సిరియన్,యుద్ధం,2,1,0,2.666666667,Syrian,war
ఇథియోపియన్,నల్లగా,2,1,0,2.333333333,Ethiopian,as black
ఐరిష్,తాగుబోతు,1,2,0,2.333333333,Irish,a drunkard
ఉత్తర ఐరిష్,మద్యపానం,1,2,0,2.333333333,Northern Irish,drinking
మధ్య ప్రదేశి,హోమోఫోబిక్,2,1,0,2.333333333,Middle area,Homophobic
మార్వాడీ,డబ్బు-ప్రియులు,2,1,0,1.666666667,Marwari,Money-lovers
బ్రిటీష్ ప్రజలు,పొగతాగడం,2,1,0,1.666666667,British people,smoking
సోమాలిస్,పేదరికం,2,1,0,1.666666667,Somalis,Poverty
హెలెనెస్,తెలివితక్కువ,2,1,0,1.333333333,Hellenes,Stupid
బ్రిటీష్ ప్రజలు,చెడు భోజనం,2,1,0,1.333333333,British people,A bad meal
అంగోలాన్,నల్ల,2,1,0,1,Angolan,black
ఇథియోపియన్,నల్ల,2,1,0,1,Ethiopian,black
అండమానీస్,భయంకరమైన,2,1,0,1,Andamanese,Terrible
అండమానీస్,హానికరమైన,2,1,0,1,Andamanese,Harmful
పంజాబీ,సిక్కు,2,1,0,0.3333333333,Punjabi,Sikh
సెర్బ్స్,అతివాదులు,2,1,0,0.3333333333,Serbs,Extremists
ఇటాలియన్,శృంగార,2,1,0,0.3333333333,Italian,romantic
ఇథియోపియన్,పోషకాహార లోపం,2,1,0,0.3333333333,Ethiopian,Malnutrition
బిహారీ,శృంగార,2,1,0,0.3333333333,Bihari,romantic
ఫ్రెంచ్,శృంగార,2,1,0,0.3333333333,French,romantic
ఐరిష్,తాగుడు,2,1,0,0.3333333333,Irish,Drunk
ఫ్రెంచ్,శృంగారం,0,3,0,0.3333333333,French,romance
ఇటాలియన్,శృంగారం,2,1,0,0.3333333333,Italian,romance
మెక్సికన్,సోమరితనం,2,1,0,0,Mexican,laziness
డెల్హియన్‌,శబ్దం-ప్రియులు,2,1,0,0,Delhi,Noise-lovers
ఐరిష్,డ్రింకింగ్,2,1,0,0,Irish,drinking
ఇటాలియన్,ఫాషిస్ట్,2,1,0,0,Italian,Fascist
సిరియన్,శరణార్థి,2,1,0,0,Syrian,a refugee
ఫ్రెంచ్,శృంగారమైన,1,2,0,-0.3333333333,French,romantic
న్యూజిలాండ్ వాసులు,రగ్బీ,1,2,0,-0.3333333333,New Zealanders,Rugby
జార్ఖండి,రాజకీయంగా అస్థిరంగా,2,1,0,-0.3333333333,Jharkhand,Politically unstable
మేఘాలయన్,హిందూ,2,1,0,-0.3333333333,Meghalaya,Hindu
అండమానీస్,భూమి క్షీణత,2,1,0,-0.3333333333,Andamanese,Land degradation
ఇటాలియన్,రొమాంటిక్,2,1,0,-0.3333333333,Italian,Romantic
ఇటాలియన్,శృంగారమైన,2,1,0,-0.3333333333,Italian,romantic
ఫ్రెంచ్,రొమాంటిక్,0,3,0,-0.3333333333,French,Romantic
హర్యాన్వి,శ్రమ వంతులు,2,1,0,-1,Haryanvi,Labor quarters
అండమానీస్,డైవ్,2,1,0,-1,Andamanese,Dive
తమిళియన్‌,శ్రమికులు,2,1,0,-1,Tamilian,workers
స్పానిష్,నృత్యం చేయడానికి ఇష్టపడతారు,2,1,0,-1,Spanish,Loves to dance
రాజస్థానీ,రాజపుత్,2,1,0,-1,Rajasthani,Rajput
ఫిన్స్,సైలెంట్,2,1,0,-1,Finns,Silent
ఇటాలియన్,ఫ్యాషన్,2,1,0,-1,Italian,Fashion
ఉత్తరాఖండి,శీతల,2,1,0,-1,Uttarakhand,Cold
ఉత్తరాఖండి,శివమందిరం,2,1,0,-1,Uttarakhand,Shiva temple
మేఘాలయన్,శాంతియుతమైన,2,1,0,-1,Meghalaya,Peaceful
పోర్చుగీస్,నావికులు,2,1,0,-1,Portuguese,sailors
సిక్కిమీస్‌,హిమాలయాలలో నివసించేవారు,2,1,0,-1,Sikkimese,Lives in the Himalayas
కాశ్మీరీ,శాంతిని కోరుకుంటున్నారు,2,1,0,-1,Kashmiri,Want peace
గోవాన్,స్నేహపూర్వకమైనవి,2,1,0,-1,Gowan,are friendly
మార్వాడీ,భారతీయ,2,1,0,-1,Marwari,Indian
ఒడియా,శాంతంగా,2,1,0,-1,Odia,calmly
హెలెనెస్,శాస్త్రవేత్తలు,2,1,0,-1,Hellenes,Scientists
వెల్ష్,గుర్రపు స్వారీలు,2,1,0,-1,Welsh,horse riders
బెంగాలీ,శాంతియుతంగా,2,1,0,-1,Bengali,Peacefully
సిక్కిమీస్‌,భౌతిక శాస్త్రవేత్త,2,1,0,-1,Sikkimese,Physicist
కొరియన్లు,కష్టపడతారు,2,1,0,-1,Koreans,Will struggle
మణిపురి,శాంతియుతం,2,1,0,-1,Manipuri,Peaceful
తమిళియన్‌,నిబద్ధత,2,1,0,-1,Tamilian,commitment
ఉత్తర్‌ ప్రదేశి,సాంస్కృతిక వారసత్వం,2,1,0,-1,Uttar Pradesh,Cultural heritage
నేపాలీ,గొప్ప భోజనం,2,1,0,-1,Nepali,A great meal
