Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
suka durian,3,0,0,0,0,0,-1,like durian
teknologi,3,0,0,0,0,0,-1,technology
besar,2,0,1,0,0,0,0,big
negara zionis,0,0,0,2,1,0,3.333333333,Zionist country
tidak banyak,3,0,0,0,0,0,-1,not many
pantai,3,0,0,0,0,0,-1,beach
gemar berjemur,3,0,0,0,0,0,-1,likes sunbathing
swiss cheese,3,0,0,0,0,0,-1,swiss cheese
nomad,3,0,0,0,0,0,-1,nomad
rokok,2,1,0,0,0,0,-0.3333333333,cigarette
suka berselancar,3,0,0,0,0,0,-1,likes surfing
multiras,1,1,1,0,0,0,0.6666666667,multiracial
filsuf,3,0,0,0,0,0,-1,philosopher
tsunami,3,0,0,0,0,0,-1,tsunami
penjelajah,3,0,0,0,0,0,-1,Explorer
kerdil,0,0,0,1,2,0,3.666666667,dwarf
illegal,0,1,1,0,1,0,2.333333333,illegal
lembut,3,0,0,0,0,0,-1,gentle
genosida,0,0,0,1,2,0,3.666666667,genocide
terbelakang,0,1,1,1,0,0,2,backward
cinta teknologi,3,0,0,0,0,0,-1,love technology
suku terasing,1,1,0,1,0,0,1,isolated tribe
peminum berat,0,0,0,1,2,0,3.666666667,heavy drinker
kaya akan tembaga,3,0,0,0,0,0,-1,rich in copper
suka kebersihan,3,0,0,0,0,0,-1,likes cleanliness
budaya,3,0,0,0,0,0,-1,culture
islam,3,0,0,0,0,0,-1,Islam
bersih,3,0,0,0,0,0,-1,clean
piramida,3,0,0,0,0,0,-1,pyramid
suka pesta,3,0,0,0,0,0,-1,likes parties
kerupuk,3,0,0,0,0,0,-1,shrimp crisp
cinta anime,3,0,0,0,0,0,-1,love anime
orang bisnis,3,0,0,0,0,0,-1,business person
smart,3,0,0,0,0,0,-1,smart
hormat,3,0,0,0,0,0,-1,respect
memiliki kebun,3,0,0,0,0,0,-1,have a garden
pemakan durian,3,0,0,0,0,0,-1,durian eater
gurun pasir,3,0,0,0,0,0,-1,desert
hutan,3,0,0,0,0,0,-1,forest
gempal,0,3,0,0,0,0,1,stocky
religius,3,0,0,0,0,0,-1,religious
anggur,3,0,0,0,0,0,-1,wine
suka whisky,1,1,1,0,0,0,0.6666666667,likes whiskey
modis,3,0,0,0,0,0,-1,fashionable
keras,3,0,0,0,0,0,-1,hard
suka makanan manis,3,0,0,0,0,0,-1,likes sweet food
berbicara bahasa kreol,3,0,0,0,0,0,-1,speak creole
berkumis,3,0,0,0,0,0,-1,mustache
seni,3,0,0,0,0,0,-1,art
pejuang,3,0,0,0,0,0,-1,warrior
muda,3,0,0,0,0,0,-1,young
pecinta masakan pedas,3,0,0,0,0,0,-1,spicy food lover
pandai,3,0,0,0,0,0,-1,smart
suka bersih,3,0,0,0,0,0,-1,likes to be clean
orang kulit gelap,1,0,1,0,1,0,1.666666667,dark skin people
pemerintahan,3,0,0,0,0,0,-1,government
keturunan,3,0,0,0,0,0,-1,descendants
negara adidaya,3,0,0,0,0,0,-1,superpower country
suka makan buah,3,0,0,0,0,0,-1,likes to eat fruit
penjahat,0,0,0,1,2,0,3.666666667,criminal
militer,3,0,0,0,0,0,-1,military
satwa liar,3,0,0,0,0,0,-1,wild animal
suka tequila,1,0,2,0,0,0,1,love tequila
suka membaca,3,0,0,0,0,0,-1,likes to read
pecinta keluarga,3,0,0,0,0,0,-1,family lover
suka jalan-jalan,3,0,0,0,0,0,-1,likes to travel
beragama hindu,2,1,0,0,0,0,-0.3333333333,Hindu religion
pedesaan,3,0,0,0,0,0,-1,rural
terkenal dengan karnaval,3,0,0,0,0,0,-1,famous for carnivals
suku dani,3,0,0,0,0,0,-1,dani tribe
suka yoga,3,0,0,0,0,0,-1,like yoga
bendera,3,0,0,0,0,0,-1,flag
penduduknya banyak,3,0,0,0,0,0,-1,the population is large
jago memanjat pohon,3,0,0,0,0,0,-1,good at climbing trees
banyak monyet,2,1,0,0,0,0,-0.3333333333,lots of monkeys
berbahasa belanda,3,0,0,0,0,0,-1,speak Dutch
berpakaian minim,0,1,0,2,0,0,2.333333333,scantily clad
suka berdisiplin,3,0,0,0,0,0,-1,likes to be disciplined
suka berlayar,3,0,0,0,0,0,-1,likes sailing
menyukai makanan,3,0,0,0,0,0,-1,likes food
kebahagiaan,3,0,0,0,0,0,-1,happiness
pekerja keras,3,0,0,0,0,0,-1,hard woker
minum,3,0,0,0,0,0,-1,drink
makmur,3,0,0,0,0,0,-1,prosperous
beraneka ragam,3,0,0,0,0,0,-1,various
negara kepulauan,3,0,0,0,0,0,-1,archipelago state
suka flamenco,3,0,0,0,0,0,-1,love flamenco
pedas,3,0,0,0,0,0,-1,spicy
kotor,0,1,1,0,1,0,2.333333333,dirty
berbahasa nordik,3,0,0,0,0,0,-1,nordic language
berambut keriting,1,1,1,0,0,0,0.6666666667,curly hair
berbahasa spanyol,3,0,0,0,0,0,-1,speak Spanish
banyak makan durian,3,0,0,0,0,0,-1,eat a lot of durian
hemat,3,0,0,0,0,0,-1,economical
suka taco,3,0,0,0,0,0,-1,love tacos
kalem,3,0,0,0,0,0,-1,calm
penduduk banyak,3,0,0,0,0,0,-1,large population
portugal,3,0,0,0,0,0,-1,Portugal
toleransi,3,0,0,0,0,0,-1,tolerance
tepat waktu,3,0,0,0,0,0,-1,on time
perkasa,3,0,0,0,0,0,-1,mighty
pemalu,3,0,0,0,0,0,-1,shy
tradisional,3,0,0,0,0,0,-1,traditional
beragam,3,0,0,0,0,0,-1,diverse
tropis,3,0,0,0,0,0,-1,tropical
berbahasa malagasi,3,0,0,0,0,0,-1,Malagasy language
pariwisata,3,0,0,0,0,0,-1,tourist
drug lord,0,0,0,1,2,0,3.666666667,drug lord
pancasila,3,0,0,0,0,0,-1,Pancasila
suka bir,1,0,2,0,0,0,1,likes beer
orang dayak,3,0,0,0,0,0,-1,Dayak people
tukang sunda,1,0,0,1,0,1,0.6666666667,Sundanese artisan
santa claus,3,0,0,0,0,0,-1,santa claus
filsafat,3,0,0,0,0,0,-1,philosophy
suka arak,1,0,2,0,0,0,1,likes wine
suka berbicara,2,1,0,0,0,0,-0.3333333333,talkative
suku dayak,3,0,0,0,0,0,-1,Dayak tribe
terkemuka,3,0,0,0,0,0,-1,leading
kulit gelap,0,1,1,1,0,0,2,dark skin
bunga tulip,3,0,0,0,0,0,-1,tulips
praha,3,0,0,0,0,0,-1,Prague
kurus,1,2,0,0,0,0,0.3333333333,thin
pizza,3,0,0,0,0,0,-1,pizza
suka filsafat,3,0,0,0,0,0,-1,like philosophy
cina,2,1,0,0,0,0,-0.3333333333,China
teroris,0,0,0,1,2,0,3.666666667,terrorist
tartan,3,0,0,0,0,0,-1,tartan
pemakan sagu,2,0,1,0,0,0,0,sago eater
multi budaya,3,0,0,0,0,0,-1,multicultural
pandai berlayar,3,0,0,0,0,0,-1,good at sailing
sulit diajak berunding,1,2,0,0,0,0,0.3333333333,difficult to negotiate with
beragam budaya,3,0,0,0,0,0,-1,the variety of culture
eksotik,3,0,0,0,0,0,-1,exotic
cinta filsafat,3,0,0,0,0,0,-1,love philosophy
bahasa yunani,3,0,0,0,0,0,-1,Greek
negara persemakmuran,3,0,0,0,0,0,-1,commonwealth country
mendaki,3,0,0,0,0,0,-1,climb
petronas,2,0,0,0,0,1,-0.6666666667,Petronas
perompak,0,0,1,0,2,0,3.333333333,pirates
pendaki gunung,3,0,0,0,0,0,-1,Mountain climber
karismatik,3,0,0,0,0,0,-1,charismatic
berbahasa batak,3,0,0,0,0,0,-1,Batak language
kaya tembaga,3,0,0,0,0,0,-1,rich in copper
macet,3,0,0,0,0,0,-1,congested
peminum,0,0,0,1,2,0,3.666666667,drinker
kekerasan,0,1,0,0,2,0,3,violence
satwa,3,0,0,0,0,0,-1,animal
pandai memasak,3,0,0,0,0,0,-1,good in cooking
musik,3,0,0,0,0,0,-1,music
penakut,1,1,1,0,0,0,0.6666666667,Coward
kekuasaan,3,0,0,0,0,0,-1,power
kurang canggih,2,1,0,0,0,0,-0.3333333333,less sophisticated
yahudi,0,0,2,1,0,0,2.333333333,Jewish
dinamis,3,0,0,0,0,0,-1,dynamic
suka damai,3,0,0,0,0,0,-1,likes peace
suka vodka,1,0,0,2,0,0,1.666666667,likes vodka
musik jazz,3,0,0,0,0,0,-1,Jazz music
adat istiadat,3,0,0,0,0,0,-1,customs
penganut hindu,2,1,0,0,0,0,-0.3333333333,Hindus
angkuh,0,1,1,0,1,0,2.333333333,haughty
negara berkembang,3,0,0,0,0,0,-1,developing country
kokain,0,1,0,0,2,0,3,cocaine
jujur,3,0,0,0,0,0,-1,Honest
pandai berbahasa inggris,3,0,0,0,0,0,-1,good at speaking English
suka berburu,3,0,0,0,0,0,-1,likes hunting
hancur,1,1,0,1,0,0,1,destroyed
penyayang,3,0,0,0,0,0,-1,caring
bahasa,3,0,0,0,0,0,-1,Language
menganut hindu,2,1,0,0,0,0,-0.3333333333,follow Hinduism
suka makan mie,3,0,0,0,0,0,-1,likes to eat noodles
humoris,3,0,0,0,0,0,-1,humorous
suka makan tempe,3,0,0,0,0,0,-1,likes to eat tempeh
rakus,0,1,1,0,1,0,2.333333333,greedy
karibia,2,0,0,0,0,1,-0.6666666667,Caribbean
suka kari,3,0,0,0,0,0,-1,love curry
inggris,2,0,0,0,0,1,-0.6666666667,English
leprechaun,3,0,0,0,0,0,-1,leprechauns
penduduk terbesar,3,0,0,0,0,0,-1,largest population
misterius,2,1,0,0,0,0,-0.3333333333,mysterious
berbahasa slovenia,3,0,0,0,0,0,-1,Slovene language
militan,2,0,0,0,1,0,0.6666666667,militant
agama hindu,3,0,0,0,0,0,-1,Hindu religion
pecinta taco,3,0,0,0,0,0,-1,taco lover
makan nasi,3,0,0,0,0,0,-1,eat rice
swiss army knife,2,0,0,1,0,0,0.3333333333,Swiss Army Knife
penari tango,2,1,0,0,0,0,-0.3333333333,tango dancer
apartheid,0,0,1,1,1,0,3,apartheid
junta,1,1,0,0,1,0,1.333333333,junta
ketat,2,0,1,0,0,0,0,strict
menari,3,0,0,0,0,0,-1,dance
maju,3,0,0,0,0,0,-1,proceed
multikultural,3,0,0,0,0,0,-1,multicultural
pecinta alkohol,0,0,1,2,0,0,2.666666667,alcohol lover
putih,3,0,0,0,0,0,-1,white
cokelat,3,0,0,0,0,0,-1,chocolate
tidak sombong,3,0,0,0,0,0,-1,not arrogant
suka berwisata,3,0,0,0,0,0,-1,likes to travel
menghormati orang tua,3,0,0,0,0,0,-1,respecting parents
industrious,3,0,0,0,0,0,-1,industrial
terpelajar,3,0,0,0,0,0,-1,educated
hijau,3,0,0,0,0,0,-1,green
amazon,3,0,0,0,0,0,-1,Amazon
indonesia,3,0,0,0,0,0,-1,Indonesia
korup,1,0,0,0,2,0,2.333333333,corrupt
berbudi luhur,3,0,0,0,0,0,-1,virtuous
terorganisir,3,0,0,0,0,0,-1,organized
seychelles,3,0,0,0,0,0,-1,seychelles
suka makan ikan,3,0,0,0,0,0,-1,likes to eat fish
suka bercengkrama,3,0,0,0,0,0,-1,likes to chat
pulau,3,0,0,0,0,0,-1,island
suka makan pasta,3,0,0,0,0,0,-1,likes to eat pasta
k-pop,3,0,0,0,0,0,-1,K pop
suka makan durian,3,0,0,0,0,0,-1,likes to eat durian
negro,0,1,1,0,1,0,2.333333333,Negro
vegetarian,3,0,0,0,0,0,-1,vegetarian
industri,3,0,0,0,0,0,-1,industry
tiramisu,3,0,0,0,0,0,-1,Tiramisu
raja,3,0,0,0,0,0,-1,king
orang-orang,3,0,0,0,0,0,-1,people
batak,3,0,0,0,0,0,-1,batak
menguasai diri,3,0,0,0,0,0,-1,control yourself
sombrero,3,0,0,0,0,0,-1,sombrero
suka makan nasi liwet,3,0,0,0,0,0,-1,likes to eat liwet rice
juara,3,0,0,0,0,0,-1,champion
netral,3,0,0,0,0,0,-1,neutral
hangat,3,0,0,0,0,0,-1,warm
ambisius,2,1,0,0,0,0,-0.3333333333,ambitious
tulip,3,0,0,0,0,0,-1,tulips
ramai,3,0,0,0,0,0,-1,crowded
orang batak,3,0,0,0,0,0,-1,Batak people
suka hamburger,3,0,0,0,0,0,-1,likes hamburgers
suka bernyanyi,3,0,0,0,0,0,-1,likes to sing
suka pasta,3,0,0,0,0,0,-1,likes pasta
kecil,2,1,0,0,0,0,-0.3333333333,small
sopan santun,3,0,0,0,0,0,-1,politeness
banyak pulau,3,0,0,0,0,0,-1,many islands
paprika,3,0,0,0,0,0,-1,paprika
suka sushi,3,0,0,0,0,0,-1,likes sushi
bebas,3,0,0,0,0,0,-1,free
