identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Surinamer,drogenhändler,1,2,0,4,Surinamese,drug dealer
Kolumbianer,drogenhändler,0,3,0,4,Colombians,drug dealer
Palästinenser,terroristen,0,3,0,4,Palestinians,terrorists
Afghanen,terroristen,0,3,0,4,Afghans,terrorists
Spanisch,criminal,2,1,0,4,Spanish,criminal
Spanisch,kriminell,0,3,0,3.666666667,Spanish,criminal
Palästinenser,terrorist,0,3,0,3.666666667,Palestinians,terrorist
Anhalter,kriminell,1,2,0,3.666666667,Hitchhiker,criminal
Hamburger,kriminell,2,1,0,3.666666667,hamburger,criminal
Afghanen,terrorist,0,3,0,3.666666667,Afghans,terrorist
Rheinländer,dick,2,1,0,3.333333333,Rhinelander,thick
Westfälisch,dick,2,1,0,3.333333333,Westphalian,thick
Amerikaner,dick,0,3,0,3.333333333,American,thick
Pfälzer,dick,2,1,0,3.333333333,Palatinate,thick
Spanisch,illegal,2,1,0,3.333333333,Spanish,illegal
Nigerianer,betrüger,2,1,0,3.333333333,Nigerians,cheater
Pommer,dick,1,2,0,3.333333333,Pomeranian,thick
Briten,arrogant,0,3,0,3,British,arrogant
Amerikaner,arrogant,0,3,0,3,American,arrogant
Franzose,arrogant,1,2,0,3,Frenchman,arrogant
Engländer,arrogant,0,3,0,3,English people,arrogant
Berliner,arrogant,0,3,0,3,Donut,arrogant
Preußen,arrogant,1,2,0,3,Prussia,arrogant
Hannoveraner,arrogant,1,2,0,3,Hanoverians,arrogant
Kubaner,kommunist,0,3,0,3,Cuban,Communist
Franzosen,arrogant,0,3,0,3,French people,arrogant
Französisch,arrogant,0,3,0,3,French,arrogant
Rheinländer,geizig,0,3,0,2.666666667,Rhinelander,stingy
Briten,snobistisch,1,2,0,2.666666667,British,snobbish
Preußen,aggressiv,0,3,0,2.666666667,Prussia,aggressive
Schleswiger,geizig,2,1,0,2.666666667,Schleswiger,stingy
Gambisch,aggressiv,1,2,0,2.666666667,Gambian,aggressive
Serben,aggressiv,0,3,0,2.666666667,Serbs,aggressive
Anhalter,aggressiv,1,2,0,2.666666667,Hitchhiker,aggressive
Engländer,schlecht,2,1,0,2.666666667,English people,bad
Franken,aggressiv,0,3,0,2.666666667,Franconia,aggressive
Franken,geizig,1,2,0,2.666666667,Franconia,stingy
Amerikaner,dumm,2,1,0,2.666666667,American,dumb
Schwaben,geizig,1,2,0,2.666666667,Swabia,stingy
Amerikaner,egoistisch,0,3,0,2.666666667,American,egotistical
Briten,kolonialistisch,0,3,0,2.666666667,British,colonialist
Anhalter,betrügerisch,1,2,0,2.666666667,Hitchhiker,fraudulent
Anhalter,unhöflich,1,2,0,2.666666667,Hitchhiker,impolite
Hannoveraner,schick,2,1,0,2.333333333,Hanoverians,chic
Saudis,verschwenderisch,0,3,0,2.333333333,Saudis,wasteful
Französisch,schick,1,2,0,2.333333333,French,chic
Anhalter,belästigend,2,1,0,2.333333333,Hitchhiker,harassing
Südafrikaner,rassistisch,2,1,0,2.333333333,South African,racist
Bosnier,kriegsverbrecher,1,2,0,2.333333333,Bosnian,war criminal
Franken,gierig,1,2,0,2.333333333,Franconia,greedy
Preußen,kriegerisch,0,3,0,2,Prussia,warlike
Franken,kriegerisch,0,3,0,2,Franconia,warlike
Nordkoreaner,brutal,0,3,0,2,North Koreans,brutally
Palästinenser,unterdrückt,0,3,0,2,Palestinians,suppressed
Hamburger,kaufsüchtig,1,2,0,2,hamburger,addicted to shopping
Nordkoreaner,tyrannisch,0,3,0,2,North Koreans,tyrannical
Mongolisch,kriegerisch,1,2,0,2,Mongolian,warlike
Äquatoguineer,korrupt,0,3,0,2,Equatoguineans,corrupt
Nordkoreaner,diktatur,0,3,0,2,North Koreans,dictatorship
Kokosinselbewohner,nackt,2,1,0,2,Cocos Islanders,naked
Pommern,kriegerisch,2,1,0,2,Pomerania,warlike
Nordkoreaner,unterdrückt,1,2,0,2,North Koreans,suppressed
Nordkoreaner,diktator,0,3,0,2,North Koreans,dictator
Südsudanesen,kriegerisch,1,2,0,2,South Sudanese,warlike
Serben,kriegerisch,1,2,0,2,Serbs,warlike
Iraner,schiitischer muslim,1,1,1,2,Iranians,Shia Muslim
Syrisch,flüchtlinge,0,3,0,2,Syrian,refugees
Franken,barbarisch,0,3,0,2,Franconia,barbaric
Serben,brutal,0,3,0,2,Serbs,brutally
Rheinländer,redselig,2,1,0,2,Rhinelander,talkative
Bosnier,kriegerisch,1,2,0,2,Bosnian,warlike
Albanisch,mafia,1,2,0,2,Albanian,mafia
Anhalter,bettler,2,1,0,1.666666667,Hitchhiker,beggar
Preußen,militaristisch,0,3,0,1.666666667,Prussia,militaristic
Hamburger,schmutzig,2,1,0,1.666666667,hamburger,dirty
Nordkoreaner,diktatorisch,0,3,0,1.666666667,North Koreans,dictatorial
Anhalter,gefährlich,1,2,0,1.666666667,Hitchhiker,dangerous
Preußen,autoritär,1,2,0,1.666666667,Prussia,authoritarian
Israelisch,zionistisch,1,2,0,1.666666667,Israeli,Zionist
