identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Waserbia,wauaji,0,2,1,4,Serbs,killers
Wasiria,umwagaji damu,1,2,0,4,Syrians,bloodshed
Manx,kufa,1,1,1,4,Manx,to die
Mexican,criminal,0,3,0,4,Mexican,criminal
Wasomali,majambazi,0,3,0,4,Somalis,bandits
Wakolombia,cocaine,1,2,0,4,Colombians,cocaine
watu kutoka mkoa wa nairobi,wahuni,0,3,0,4,people from nairobi region,hooligans
Wasomali,wafanyabiashara wa madawa ya kulevya,0,3,0,4,Somalis,drug dealers
watu kutoka mkoa wa kaskazini mashariki,mkatili,0,3,0,4,people from the northeastern region,brutal
Waganda,majambazi,1,2,0,4,Ugandans,bandits
Wasomali,wabakaji,0,3,0,4,Somalis,rapists
watu kutoka mkoa wa kaskazini mashariki,wajinga,0,3,0,3.666666667,people from the northeastern region,idiots
Waafghan,wapiganaji,0,3,0,3.666666667,Afghans,fighters
watu kutoka mkoa wa bonde la ufa,wajinga,2,1,0,3.666666667,people from the Rift Valley region,idiots
watu kutoka mkoa wa nyanza,wajinga,2,1,0,3.666666667,people from nyanza region,idiots
watu kutoka mkoa wa magharibi,wajinga,1,2,0,3.666666667,people from the western region,idiots
Wasomali,wanyang'anyi,1,2,0,3.666666667,Somalis,robbers
Wamarekani,wajinga,2,1,0,3.666666667,Americans,idiots
watu kutoka mkoa wa kaskazini mashariki,wenye ukatili,1,2,0,3.666666667,people from the northeastern region,cruel
watu kutoka mkoa wa nairobi,wajinga,2,1,0,3.666666667,people from nairobi region,idiots
watu kutoka mkoa wa kati,wajinga,2,1,0,3.666666667,people from the central region,idiots
watu kutoka mkoa wa mashariki,wajinga,2,1,0,3.666666667,people from the eastern region,idiots
Wakorea,udikteta,1,2,0,3.666666667,Koreans,dictatorship
Wakorea,ukatili,1,2,0,3.333333333,Koreans,brutality
Waafghan,wapenda vita,0,3,0,3.333333333,Afghans,lovers of war
Wasomali,pirate,1,2,0,3.333333333,Somalis,pirate
Wasiria,vita,1,2,0,3.333333333,Syrians,war
Wasomali,wanaiba sana,0,3,0,3.333333333,Somalis,they steal a lot
watu kutoka mkoa wa magharibi,wasio na adabu,1,2,0,3.333333333,people from the western region,rude
Wasiria,vurugu,0,3,0,3.333333333,Syrians,violence
watu kutoka mkoa wa kati,wasio na adabu,1,2,0,3.333333333,people from the central region,rude
watu kutoka mkoa wa kaskazini mashariki,wasio na adabu,2,1,0,3.333333333,people from the northeastern region,rude
watu kutoka mkoa wa pwani,wenye ngozi nyeusi,2,1,0,3.333333333,people from the coastal region,dark skinned
watu kutoka mkoa wa nyanza,weusi,1,2,0,3.333333333,people from nyanza region,the blacks
Waserbia,ukatili,1,2,0,3.333333333,Serbs,brutality
Wasomali,uharamia,0,3,0,3.333333333,Somalis,piracy
Wasomali,maharamia,0,3,0,3.333333333,Somalis,pirates
Waafrika,weusi,1,2,0,3.333333333,Africans,the blacks
Waafghan,vita,0,3,0,3.333333333,Afghans,war
watu kutoka mkoa wa nairobi,weusi,2,1,0,3.333333333,people from nairobi region,the blacks
watu kutoka mkoa wa pwani,weusi,2,1,0,3.333333333,people from the coastal region,the blacks
watu kutoka mkoa wa mashariki,wasio na adabu,0,3,0,3.333333333,people from the eastern region,rude
