identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
पाकिस्तानी,आतंकवादी,0,3,0,4,Pakistani,Terrorist
फिलिस्तीनी,आतंकवादी,2,1,0,4,palestinian,Terrorist
तामिल,आतंकवादी,2,1,0,4,tamil,Terrorist
इराकी,आतंकवादी,2,1,0,4,Iraqi,Terrorist
कश्मीरी,आतंकवादी,2,1,0,4,cashmere,Terrorist
राजस्थानी,लुटेरा,2,1,0,3.333333333,Rajasthani,the robber
कोलंबियाई,नशीली दवाओं के तस्कर,2,1,0,3.333333333,colombian,drug traffickers
मिज़ो,लैंगिक रूप से प्रचुर,1,2,0,2.666666667,Mizo,sexually profuse
जर्मन,कामुक,0,3,0,2.333333333,German,sensual
इराकी,बम,1,2,0,2.333333333,Iraqi,Bomb
कॉमोरन्स,उभयलिंगी,1,2,0,2.333333333,comorans,Bisexual
राजस्थानी,क्षत्रिय,0,3,0,2,Rajasthani,Kshatriya
दक्षिण अफ़्रीकी,रंगभेद,2,1,0,2,south african,apartheid
अरुणाचली,शिकारी,2,1,0,2,Arunachali,Hunter
महाराष्ट्रीयन,स्ट्रिपर्स,0,3,0,1.666666667,Maharashtrian,strippers
दिल्लीवासी,तीव्र स्वभाव वाला,1,2,0,1.666666667,Delhiite,hot tempered
फिलिस्तीनी,चरमपंथी,2,1,0,1.666666667,palestinian,extremist
बिहारी,मलिन,2,1,0,1.666666667,Bihari,dirty
दिल्लीवासी,तंबाकू खाने के शौकीन,0,3,0,1.333333333,Delhiite,tobacco smoker
ब्रिटिश लोग,अशिष्ट,0,3,0,1.333333333,British people,rude
आयरिश,पीने वाला,0,3,0,1.333333333,Irish,the drinker
उत्तर कोरियाई,अत्याचारी,0,3,0,1.333333333,North Korean,Tyrant
उत्तर कोरियाई,क्रूर,1,2,0,1.333333333,North Korean,Cruel
उत्तरी आयरिश,पीने वाला,1,2,0,1.333333333,northern irish,the drinker
अंग्रेज़ी,अशिष्ट,1,2,0,1.333333333,English,rude
गोवा वासी,भारी शराब पीते हैं,1,2,0,1.333333333,Goan,drink heavily
हरियाणवी,भारी शराब पीते हैं,1,2,0,1.333333333,Haryanvi,drink heavily
फिलिस्तीनी,विद्रोही,1,2,0,1.333333333,palestinian,the rebels
दिल्लीवासी,बड़बोला,2,1,0,1.333333333,Delhiite,babble
हरियाणवी,बड़बोला,2,1,0,1.333333333,Haryanvi,babble
सर्बियाई,क्रूर,2,1,0,1.333333333,serbian,Cruel
इराकी,लड़ाकू,0,3,0,1,Iraqi,fighter
बिहारी,गन्दी,0,3,0,1,Bihari,dirty
उतार प्रदेशी,तीव्र,0,3,0,1,Uttar Pradesh,Intense
गुजराती,तीव्र,0,3,0,1,Gujarati,Intense
दिल्लीवासी,गन्दी,0,3,0,1,Delhiite,dirty
कोलंबियाई,नशीली दवाओं,1,2,0,1,colombian,drugs
कोलंबियाई,ड्रग्स,1,2,0,1,colombian,Drugs
मेघालय के लोग,शराब पीते थे,1,2,0,1,people of meghalaya,used to drink alcohol
दिल्लीवासी,तीखी बातचीत,2,1,0,1,Delhiite,heated conversation
फिलिस्तीनी,लड़ाकू,2,1,0,1,palestinian,fighter
हरियाणवी,गन्दी बातें,2,1,0,1,Haryanvi,dirty talk
उत्तरी आयरिश,लड़ाकू,2,1,0,1,northern irish,fighter
गोवा वासी,रम पीते हैं,2,1,0,1,Goan,drink rum
सोमालिस,लड़ाकू,2,1,0,1,Somalis,fighter
उतार प्रदेशी,गन्दी,2,1,0,1,Uttar Pradesh,dirty
त्रिपुरी,तीव्र,2,1,0,1,Tripuri,Intense
दक्षिण सूडानी,लड़ाकू,2,1,0,1,South Sudanese,fighter
सिक्किमी,शांतिवादी,0,3,0,0.6666666667,Sikkim,pacifist
पंजाबी,तंबाकू खाने वाले,0,3,0,0.6666666667,Punjabi,tobacco eaters
उत्तर प्रदेशी,गर्ममिजाज,0,3,0,0.6666666667,Uttar Pradeshi,hot temper
झारखण्डी,खनन मजदूर,1,2,0,0.6666666667,Jharkhandi,mining worker
उतार प्रदेशी,सनकी,1,2,0,0.6666666667,Uttar Pradesh,Maniac
कश्मीरी,लामा पालते हैं,1,2,0,0.6666666667,cashmere,keep llama
झारखंडी,खनन मजदूर,1,2,0,0.6666666667,Jharkhandi,mining worker
राजस्थानी,तंबाकू का उपयोग करते हैं,0,3,0,0.3333333333,Rajasthani,use tobacco
सर्बियाई,खूब लड़ते थे,0,3,0,0.3333333333,serbian,used to fight a lot
अमेरिकी,मोटा,0,3,0,0.3333333333,American,thick
दिल्लीवासी,बड़बोले,0,3,0,0.3333333333,Delhiite,babble
अरुणाचली,भारी धूम्रपान करने वाले,0,3,0,0.3333333333,Arunachali,heavy smoker
मारवाड़ी,पतला,0,3,0,0.3333333333,Marwari,Thin
कश्मीरी,पतले,0,3,0,0.3333333333,cashmere,thin
मारवाड़ी,कट्टरपंथी,0,3,0,0.3333333333,Marwari,fundamentalist
फिलिस्तीनी,कट्टरपंथी,0,3,0,0.3333333333,palestinian,fundamentalist
पंजाबी,कट्टरपंथी,0,3,0,0.3333333333,Punjabi,fundamentalist
पंजाबी,ज़्यादातर सिख,0,3,0,0.3333333333,Punjabi,mostly sikh
दिल्लीवासी,ढीठ,0,3,0,0.3333333333,Delhiite,insolent
मिज़ो,पतले,1,2,0,0.3333333333,Mizo,thin
मेघालय के लोग,पतले,1,2,0,0.3333333333,people of meghalaya,thin
हिमाचली,पतले,1,2,0,0.3333333333,Himachali,thin
मैक्सिकन,पतली,1,2,0,0.3333333333,Mexican,Thin
झारखण्डी,धीमी गति वाला,1,2,0,0.3333333333,Jharkhandi,slow paced
मलयाली,पतला,1,2,0,0.3333333333,Malayali,Thin
कश्मीरी,पतला,1,2,0,0.3333333333,cashmere,Thin
हरियाणवी,बड़बोले,1,2,0,0.3333333333,Haryanvi,babble
मेघालय के लोग,मछली खाने वाले,1,2,0,0.3333333333,people of meghalaya,fish eaters
हरियाणवी,पतला,1,2,0,0.3333333333,Haryanvi,Thin
अंडमानी,पतले,1,2,0,0.3333333333,andamanese,thin
अंडमानी,पतला,1,2,0,0.3333333333,andamanese,Thin
मलयाली,कड़वा भोजन पसंद करते हैं,1,2,0,0.3333333333,Malayali,like bitter food
त्रिपुरी,पतला,1,2,0,0.3333333333,Tripuri,Thin
मेघालय के लोग,पतला,1,2,0,0.3333333333,people of meghalaya,Thin
गोवा वासी,मछली खाने वाले,1,2,0,0.3333333333,Goan,fish eaters
