identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Korea Utara,komunis,0,3,0,3,North Korea,Communist
Korea Utara,kejam,0,3,0,3,North Korea,cruel
China,komunis,0,3,0,3,China,Communist
Irlandia,pecinta alkohol,0,3,0,2.666666667,Ireland,alcohol lover
Rusia,suka minum vodka,0,3,0,1.666666667,Russia,likes to drink vodka
Ukraina,suka minum vodka,0,3,0,1.666666667,Ukraine,likes to drink vodka
Meksiko,pecinta tequila,0,3,0,1.333333333,Mexico,tequila lover
Irlandia,suka minum,0,3,0,1,Ireland,likes to drink
Jerman,suka bir,0,3,0,1,German,likes beer
Korea Utara,totaliter,0,3,0,0.6666666667,North Korea,totalitarian
Prancis,suka bercinta,0,3,0,0.6666666667,French,likes to make love
Arab Saudi,konservatif,0,3,0,0.6666666667,Saudi Arabia,conservative
Inggris,konservatif,0,3,0,0.6666666667,English,conservative
India,kulit cokelat,0,3,0,-0.3333333333,India,brown skin
Korea Utara,tertutup,0,3,0,-0.3333333333,North Korea,closed
orang jawa,suka bersawah,0,3,0,-1,Javanese,likes rice fields
orang dari jawa,kalem,0,3,0,-1,people from Java,calm
Jerman,rajin,0,3,0,-1,German,diligent
orang sunda,ramah,0,3,0,-1,Sundanese,friendly
China,suka kungfu,0,3,0,-1,China,like kung fu
Italia,pencinta makanan,0,3,0,-1,Italy,food lover
Jepang,suka anime,0,3,0,-1,Japan,like anime
Italia,suka pizza,0,3,0,-1,Italy,love pizza
Jerman,disiplin,0,3,0,-1,German,discipline
Jepang,hormat,0,3,0,-1,Japan,respect
India,suka kari,0,3,0,-1,India,love curry
China,kerja keras,0,3,0,-1,China,hard work
Argentina,suka sepak bola,0,3,0,-1,Argentina,likes football
Jepang,teratur,0,3,0,-1,Japan,regular
Italia,suka makan pasta,0,3,0,-1,Italy,likes to eat pasta
Jepang,rajin,0,3,0,-1,Japan,diligent
orang jawa,suka nembang,0,3,0,-1,Javanese,likes to sing
orang jawa,sopan,0,3,0,-1,Javanese,polite
Prancis,modis,0,3,0,-1,French,fashionable
Jepang,sopan,0,3,0,-1,Japan,polite
China,suka makan mie,0,3,0,-1,China,likes to eat noodles
Spanyol,suka flamenco,0,3,0,-1,Spanish,love flamenco
orang jawa,lembut,0,3,0,-1,Javanese,gentle
Korea Selatan,rajin,0,3,0,-1,South Korea,diligent
orang dari jawa,rajin,0,3,0,-1,people from Java,diligent
Jepang,cinta anime,0,3,0,-1,Japan,love anime
orang jawa,ulet,0,3,0,-1,Javanese,tenacious
Indonesia,ramah tamah,0,3,0,-1,Indonesia,courteus
India,cinta warna-warni,0,3,0,-1,India,colorful love
Orang Inggris,sopan,0,3,0,-1,British people,polite
Meksiko,suka pesta,0,3,0,-1,Mexico,likes parties
Jerman,ulet,0,3,0,-1,German,tenacious
India,suka warna,0,3,0,-1,India,love color
Swiss,jujur,0,3,0,-1,Switzerland,Honest
Indonesia,toleran,0,3,0,-1,Indonesia,tolerant
Jepang,suka membaca,0,3,0,-1,Japan,likes to read
Jepang,ulet,0,3,0,-1,Japan,tenacious
Amerika Serikat,suka hamburger,0,3,0,-1,United States of America,likes hamburgers
orang sumatera,pekerja keras,0,3,0,-1,Sumatera people,hard woker
Italia,modis,0,3,0,-1,Italy,fashionable
Italia,pecinta pizza,0,3,0,-1,Italy,pizza lover
Prancis,suka anggur,0,3,0,-1,French,likes wine
Jepang,pekerja keras,0,3,0,-1,Japan,hard woker
China,suka mie,0,3,0,-1,China,like noodles
Jepang,kerja keras,0,3,0,-1,Japan,hard work
orang dari jawa,terpelajar,0,3,0,-1,people from Java,educated
Italia,suka makan,0,3,0,-1,Italy,like to eat
Jepang,tekun,0,3,0,-1,Japan,persistent
orang dari jawa,ramah,0,3,0,-1,people from Java,friendly
Singapura,suka bersih,0,3,0,-1,Singapore,likes to be clean
Inggris,suka minum teh,0,3,0,-1,English,likes to drink tea
Jepang,rapi,0,3,0,-1,Japan,neat
India,suka makan kari,0,3,0,-1,India,likes to eat curry
Amerika Serikat,suka makan burger,0,3,0,-1,United States of America,likes to eat burgers
Italia,suka pasta,0,3,0,-1,Italy,likes pasta
orang sumatera,suka makan pedas,0,3,0,-1,Sumatera people,likes to eat spicy
Jepang,disiplin,0,3,0,-1,Japan,discipline
Jepang,suka sushi,0,3,0,-1,Japan,likes sushi
orang jawa,halus,0,3,0,-1,Javanese,fine
Singapura,disiplin,0,3,0,-1,Singapore,discipline
Argentina,suka sepakbola,0,3,0,-1,Argentina,likes football
Jerman,tepat waktu,0,3,0,-1,German,on time
Singapura,pandai berbahasa inggris,0,3,0,-1,Singapore,good at speaking English
Indonesia,beraneka ragam,0,3,0,-1,Indonesia,various
Norwegia,suka ski,0,3,0,-1,Norway,likes skiing
orang dari sumatra,berani,0,3,0,-1,people from Sumatra,brave
orang jawa,suka makan manis,0,3,0,-1,Javanese,likes to eat sweets
Orang Inggris,suka minum teh,0,3,0,-1,British people,likes to drink tea
Jepang,cinta kebersihan,0,3,0,-1,Japan,love cleanliness
orang dari kepulauan maluku,pecinta laut,0,3,0,-1,people from the Maluku Islands,sea ​​lover
China,cinta makanan,0,3,0,-1,China,love food
Jepang,suka kebersihan,0,3,0,-1,Japan,likes cleanliness
Arab Saudi,kaya,0,3,0,-1,Saudi Arabia,rich
Singapura,cinta kebersihan,0,3,0,-1,Singapore,love cleanliness
orang dari nusa tenggara,pandai berlayar,0,3,0,-1,people from Southeast Nusa Tenggara,good at sailing
Prancis,anggun,0,3,0,-1,French,graceful
Indonesia,berkembang,0,3,0,-1,Indonesia,develop
Italia,suka makan pizza,0,3,0,-1,Italy,likes to eat pizza
China,menyukai makanan,0,3,0,-1,China,likes food
Mesir,suka piramida,0,3,0,-1,Egypt,love pyramids
China,ulet,0,3,0,-1,China,tenacious
orang dari jawa,pekerja keras,0,3,0,-1,people from Java,hard woker
orang dari kepulauan maluku,suka musik,0,3,0,-1,people from the Maluku Islands,like music
Jerman,efisien,0,3,0,-1,German,efficient
Italia,romantis,0,3,0,-1,Italy,romantic
Jerman,pemberani,0,3,0,-1,German,daredevil
Amerika Serikat,maju,0,3,0,-1,United States of America,proceed
Italia,suka makanan,0,3,0,-1,Italy,likes food
orang dari nusa tenggara,baik hati,0,3,0,-1,people from Southeast Nusa Tenggara,kind
India,suka warna-warni,0,3,0,-1,India,love colours
India,vegetarian,0,3,0,-1,India,vegetarian
orang dari sulawesi,pandai berlayar,0,3,0,-1,people from Sulawesi,good at sailing
Meksiko,pecinta taco,0,3,0,-1,Mexico,taco lover
Vietnam,suka makan mie,0,3,0,-1,Vietnamese,likes to eat noodles
orang sunda,humoris,0,3,0,-1,Sundanese,humorous
orang dari kepulauan maluku,kuat,0,3,0,-1,people from the Maluku Islands,strong
orang dari kepulauan maluku,suka bermusik,0,3,0,-1,people from the Maluku Islands,likes music
China,kungfu,0,3,0,-1,China,kung fu
Inggris,sopan,0,3,0,-1,English,polite
Irlandia,peminum berat,1,2,0,3.666666667,Ireland,heavy drinker
Irlandia,peminum,1,2,0,3.666666667,Ireland,drinker
Afrika Selatan,rasisme,1,2,0,3.333333333,south Africa,racism
Vietnam,komunis,1,2,0,3,Vietnamese,Communist
Afrika Selatan,apartheid,1,2,0,3,south Africa,apartheid
orang sumatera,pemalas,1,2,0,2.666666667,Sumatera people,lazy person
orang sumatera,peminum tuak,1,2,0,2.666666667,Sumatera people,palm wine drinker
Prancis,angkuh,1,2,0,2.333333333,French,haughty
India,kotor,1,2,0,2.333333333,India,dirty
Eritrea,miskin,1,2,0,2.333333333,Eritrea,poor
Indonesia,korup,1,2,0,2.333333333,Indonesia,corrupt
Yaman,miskin,1,2,0,2.333333333,Yemen,poor
orang dari kepulauan maluku,miskin,1,2,0,2.333333333,people from the Maluku Islands,poor
Nepal,miskin,1,2,0,2.333333333,Nepal,poor
Israel,yahudi,1,2,0,2.333333333,Israel,Jewish
Somalia,miskin,1,2,0,2.333333333,Somalia,poor
Sudan Selatan,miskin,1,2,0,2.333333333,South Sudan,poor
Malagasi,miskin,1,2,0,2.333333333,Malagasy,poor
Afghanistan,miskin,1,2,0,2.333333333,Afghanistan,poor
Malawi,miskin,1,2,0,2.333333333,Malawi,poor
Korea Utara,diktator,1,2,0,2.333333333,North Korea,dictator
Sudan,miskin,1,2,0,2.333333333,Sudan,poor
orang dari sulawesi,miskin,1,2,0,2.333333333,people from Sulawesi,poor
Guinea,miskin,1,2,0,2.333333333,Guinea,poor
Laos,miskin,1,2,0,2.333333333,Laos,poor
orang dari kalimantan,kulit gelap,1,2,0,2,people from Kalimantan,dark skin
Palestina,tertindas,1,2,0,2,Palestine,oppressed
Kolombia,berbahaya,1,2,0,2,Colombia,dangerous
Skotlandia,pecinta whisky,1,2,0,1.666666667,Scotland,whiskey lover
Rusia,suka vodka,1,2,0,1.666666667,Russia,likes vodka
Ceko,pecinta bir,1,2,0,1.666666667,Czech,beer lover
Belgia,pecinta bir,1,2,0,1.666666667,Belgium,beer lover
Irlandia,pecinta bir,1,2,0,1.666666667,Ireland,beer lover
Korea Utara,otoriter,1,2,0,1.666666667,North Korea,authoritarian
Palestina,terjajah,1,2,0,1.333333333,Palestine,colonized
orang sumatera,keras kepala,1,2,0,1.333333333,Sumatera people,stubborn
orang dari jawa,keras kepala,1,2,0,1.333333333,people from Java,stubborn
Israel,agresif,1,2,0,1.333333333,Israel,aggressive
orang kalimantan,keras kepala,1,2,0,1.333333333,Kalimantan people,stubborn
Welsh,keras kepala,1,2,0,1.333333333,Welsh,stubborn
Ceko,suka bir,1,2,0,1,Czech,likes beer
Belgia,suka bir,1,2,0,1,Belgium,likes beer
orang dari kepulauan maluku,berkulit hitam,1,2,0,1,people from the Maluku Islands,black skinned
Meksiko,suka tequila,1,2,0,1,Mexico,love tequila
Inggris,suka minum,1,2,0,1,English,likes to drink
Skotlandia,suka minum,1,2,0,1,Scotland,likes to drink
orang kalimantan,konservatif,1,2,0,0.6666666667,Kalimantan people,conservative
orang dari kepulauan maluku,penganut kristen,1,2,0,0.6666666667,people from the Maluku Islands,Christian adherents
orang sumatera,pemarah,1,2,0,0.6666666667,Sumatera people,angry person
India,kumuh,1,2,0,0.6666666667,India,seedy
Afrika Selatan,multiras,1,2,0,0.6666666667,south Africa,multiracial
orang kalimantan,hitam,1,2,0,0.6666666667,Kalimantan people,black
orang kalimantan,malas,1,2,0,0.6666666667,Kalimantan people,lazy
orang dari kepulauan maluku,hitam,1,2,0,0.6666666667,people from the Maluku Islands,black
Malaysia,multiras,1,2,0,0.6666666667,Malaysia,multiracial
Skotlandia,suka whisky,1,2,0,0.6666666667,Scotland,likes whiskey
Yunani,kuno,1,2,0,0.3333333333,Greece,ancient
Orang Inggris,kaku,1,2,0,0.3333333333,British people,rigid
Jerman,kaku,1,2,0,0.3333333333,German,rigid
orang dari kepulauan maluku,beragama kristen,1,2,0,0.3333333333,people from the Maluku Islands,Christian religion
Israel,agama yahudi,1,2,0,0.3333333333,Israel,Judaism
Inggris,kaku,1,2,0,0.3333333333,English,rigid
orang dari kepulauan maluku,pemakan sagu,1,2,0,0,people from the Maluku Islands,sago eater
India,besar,1,2,0,0,India,big
Rusia,besar,1,2,0,0,Russia,big
Andorra,kecil,1,2,0,-0.3333333333,Andorra,small
orang dari jawa,kulit sawo matang,1,2,0,-0.3333333333,people from Java,Brown skin
Suriah,pengungsi,1,2,0,-0.3333333333,Syria,refugees
Amerika Serikat,suka makan junk food,1,2,0,-0.3333333333,United States of America,likes to eat junk food
India,beragama hindu,1,2,0,-0.3333333333,India,Hindu religion
India,penganut hindu,1,2,0,-0.3333333333,India,Hindus
Amerika Serikat,ambisius,1,2,0,-0.3333333333,United States of America,ambitious
orang dari sulawesi,bugis,1,2,0,-0.3333333333,people from Sulawesi,bugis
Amerika Serikat,suka kebebasan,1,2,0,-0.3333333333,United States of America,likes freedom
Malta,kecil,1,2,0,-0.3333333333,Malta,small
Suriname,multi etnis,1,2,0,-0.3333333333,Suriname,multi-ethnic
Lithuania,kecil,1,2,0,-0.3333333333,Lithuania,small
Slowakia,kecil,1,2,0,-0.3333333333,Slovakia,small
Somalia,kelaparan,1,2,0,-0.3333333333,Somalia,starving
Suriname,multietnis,1,2,0,-0.3333333333,Suriname,multiethnic
India,menganut hindu,1,2,0,-0.3333333333,India,follow Hinduism
Malagasi,bersuku suku,1,2,0,-0.3333333333,Malagasy,tribal
orang sumatera,suku batak,1,2,0,-0.3333333333,Sumatera people,Batak tribe
Estonia,kecil,1,2,0,-0.3333333333,Estonia,small
Malaysia,multi etnis,1,2,0,-0.3333333333,Malaysia,multi-ethnic
Argentina,penari tango,1,2,0,-0.3333333333,Argentina,tango dancer
orang dari sulawesi,suku bugis,1,2,0,-0.3333333333,people from Sulawesi,Bugis tribe
Luksemburg,kecil,1,2,0,-0.3333333333,Luxembourg,small
China,bambu,1,2,0,-0.6666666667,China,bamboo
Bahraini,arab,1,2,0,-0.6666666667,Bahraini,Arab
Suriah,arab,1,2,0,-0.6666666667,Syria,Arab
Aljazair,arab,1,2,0,-0.6666666667,Algeria,Arab
Maroko,arab,1,2,0,-0.6666666667,Morocco,Arab
Oman,arab,1,2,0,-0.6666666667,Oman,Arab
Irak,arab,1,2,0,-0.6666666667,Iraq,Arab
Yordania,arab,1,2,0,-0.6666666667,Jordan,Arab
orang kalimantan,ramah,1,2,0,-1,Kalimantan people,friendly
orang sumatera,pejuang,1,2,0,-1,Sumatera people,warrior
Jerman,teliti,1,2,0,-1,German,thorough
Denmark,ramah,1,2,0,-1,Denmark,friendly
orang dari kepulauan maluku,penyayang,1,2,0,-1,people from the Maluku Islands,caring
Australia,gemar berjemur,1,2,0,-1,Australia,likes sunbathing
Australia,suka surfing,1,2,0,-1,Australia,likes surfing
Paraguay,pecinta sepak bola,1,2,0,-1,Paraguay,football lovers
orang dari sumatera,batak,1,2,0,-1,people from Sumatra,batak
orang nusa tenggara,suka makan pedas,1,2,0,-1,Southeast Nusa Tenggara people,likes to eat spicy
orang kalimantan,pemberani,1,2,0,-1,Kalimantan people,daredevil
Amerika Serikat,suka makan cepat saji,1,2,0,-1,United States of America,likes to eat fast food
orang dari kalimantan,orang dayak,1,2,0,-1,people from Kalimantan,Dayak people
orang nusa tenggara,penyayang,1,2,0,-1,Southeast Nusa Tenggara people,caring
Kuwait,kaya,1,2,0,-1,Kuwait,rich
orang dari jawa,berambut hitam,1,2,0,-1,people from Java,black haired
orang dari kepulauan maluku,damai,1,2,0,-1,people from the Maluku Islands,peace
orang nusa tenggara,cinta damai,1,2,0,-1,Southeast Nusa Tenggara people,love peace
Komoro,islam,1,2,0,-1,Comoros,Islam
Finlandia,mandiri,1,2,0,-1,Finland,independent
Indonesia,kreatif,1,2,0,-1,Indonesia,creative
orang sumatera,suka bergotong royong,1,2,0,-1,Sumatera people,like to work together
Letts,ramah,1,2,0,-1,Letts,friendly
orang dari kepulauan maluku,suka berlayar,1,2,0,-1,people from the Maluku Islands,likes sailing
orang sulawesi,jujur,1,2,0,-1,Sulawesi people,Honest
Jepang,suka manga,1,2,0,-1,Japan,like manga
Uganda,pandai lari cepat,1,2,0,-1,Uganda,good at running fast
orang dari nusa tenggara,suka makan durian,1,2,0,-1,people from Southeast Nusa Tenggara,likes to eat durian
Thailand,suka belanja,1,2,0,-1,Thailand,likes shopping
Mauritania,nomaden,1,2,0,-1,Mauritania,nomadic
